quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
15	1.0	5	4		1/4	1/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	48
15	0.5	5	4		1/4	1/4	2/2	1	1	1/8		1/8	1		3	69	A4	4	42
31/2	0.5	5	4		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	43
16	1.0	5	4		1/2	1/2	2/2	2	1	1/4		1/4	1		-2	46	Bb2	2	49
16	1.0	5	4		1/2	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	44
17	1.0	5	4		3/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	50
17	0.5	5	4		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	45
35/2	0.5	5	4		7/8	7/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	46
18	1.0	6	5		0	0	2/2	2	1	1/4		1/4	1		1	55	G3	3	57
18	1.0	6	5		0	0	2/2	1	1	1/4		1/4	1		-2	82	Bb5	5	51
19	1.0	6	5		1/4	1/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	58
19	0.5	6	5		1/4	1/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	52
39/2	0.5	6	5		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	53
20	1.0	6	5		1/2	1/2	2/2	2	1	1/4		1/4	1		0	60	C4	4	59
20	1.0	6	5		1/2	1/2	2/2	1	1	1/4		1/4	1		3	81	A5	5	54
21	1.0	6	5		3/4	3/4	2/2	2	1	1/4		1/4	1		2	62	D4	4	60
21	0.5	6	5		3/4	3/4	2/2	1	1	1/8		1/8	1		6	78	F#5	5	55
43/2	0.5	6	5		7/8	7/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	56
22	0.5	7	6		0	0	2/2	2	1	1/8		1/8	1		-3	63	Eb4	4	67
22	1.5	7	6		0	0	2/2	1	1	3/8		1/4	3/2		1	79	G5	5	61
45/2	0.5	7	6		1/8	1/8	2/2	2	1	1/8		1/8	1		-1	65	F4	4	68
23	0.5	7	6		1/4	1/4	2/2	2	1	1/8		1/8	1		-3	63	Eb4	4	69
47/2	0.5	7	6		3/8	3/8	2/2	2	1	1/8		1/8	1		2	62	D4	4	70
47/2	0.5	7	6		3/8	3/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	62
24	0.5	7	6		1/2	1/2	2/2	2	1	1/8		1/8	1		0	60	C4	4	71
24	0.5	7	6		1/2	1/2	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	63
49/2	0.5	7	6		5/8	5/8	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	72
49/2	0.5	7	6		5/8	5/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	64
25	0.5	7	6		3/4	3/4	2/2	2	1	1/8		1/8	1		3	57	A3	3	73
25	0.5	7	6		3/4	3/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	65
51/2	0.5	7	6		7/8	7/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	74
51/2	0.5	7	6		7/8	7/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	66
26	1.0	8	7		0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	82
26	0.5	8	7		0	0	2/2	1	1	1/8		1/8	1		3	81	A5	5	75
53/2	0.5	8	7		1/8	1/8	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	76
27	1.0	8	7		1/4	1/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	83
27	0.5	8	7		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	77
55/2	0.5	8	7		3/8	3/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	78
28	1.0	8	7		1/2	1/2	2/2	2	1	1/4		1/4	1		-3	51	Eb3	3	84
28	0.5	8	7		1/2	1/2	2/2	1	1	1/8		1/8	1		-1	77	F5	5	79
57/2	0.5	8	7		5/8	5/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	80
29	1.0	8	7		3/4	3/4	2/2	2	1	1/4		1/4	1		-1	53	F3	3	85
29	1.0	8	7		3/4	3/4	2/2	1	1	1/4		1/4	1		2	74	D5	5	81
	0.0	9	8	1	0	0	2/2	1	1	0	appoggiatura	1/8	1		0	72	C5	5	86
	0.5	9	8	1	0	0	2/2	2	1	1/8		1/8	1		-2	46	Bb2	2	88
	2.0	9	8	1	0	0	2/2	1	1	1/2		1/2	1		-2	70	Bb4	4	87
	0.5	9	8	1	1/8	1/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	89
	0.5	9	8	1	1/4	1/4	2/2	2	1	1/8		1/8	1		-2	46	Bb2	2	90
	0.5	9	8	1	3/8	3/8	2/2	2	1	1/8		1/8	1		3	45	A2	2	91
30	0.0	10	8	2	0	0	2/2	1	1	0	appoggiatura	1/8	1		0	72	C5	5	92
30	0.5	10	8	2	0	0	2/2	2	1	1/8		1/8	1		-2	46	Bb2	2	94
30	2.0	10	8	2	0	0	2/2	1	1	1/2		1/2	1		-2	70	Bb4	4	93
61/2	0.5	10	8	2	1/8	1/8	2/2	2	1	1/8		1/8	1		-1	53	F3	3	95
31	0.5	10	8	2	1/4	1/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	96
63/2	0.5	10	8	2	3/8	3/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	97
32	1.0	11	8		0	1/2	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	101
32	1.0	11	8		0	1/2	2/2	1	1	1/4		1/4	1		2	74	D5	5	98
33	1.0	11	8		1/4	3/4	2/2	2	1	1/4		1/4	1		0	60	C4	4	102
33	0.5	11	8		1/4	3/4	2/2	1	1	1/8		1/8	1		-1	77	F5	5	99
67/2	0.5	11	8		3/8	7/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	100
34	1.0	12	9		0	0	2/2	2	1	1/4		1/4	1		2	62	D4	4	109
34	1.0	12	9		0	0	2/2	1	1	1/4		1/4	1		-1	77	F5	5	103
35	1.0	12	9		1/4	1/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	110
35	0.5	12	9		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	104
71/2	0.5	12	9		3/8	3/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	105
36	1.0	12	9		1/2	1/2	2/2	2	1	1/4		1/4	1		-3	63	Eb4	4	111
36	1.0	12	9		1/2	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	106
37	1.0	12	9		3/4	3/4	2/2	2	1	1/4		1/4	1		0	60	C4	4	112
37	0.5	12	9		3/4	3/4	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	107
75/2	0.5	12	9		7/8	7/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	108
38	0.5	13	10		0	0	2/2	2	1	1/8		1/8	1		2	62	D4	4	118
38	2.0	13	10		0	0	2/2	1	1	1/2		1/2	1		-1	77	F5	5	113
77/2	0.5	13	10		1/8	1/8	2/2	2	1	1/8		1/8	1		0	60	C4	4	119
39	0.5	13	10		1/4	1/4	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	120
79/2	0.5	13	10		3/8	3/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	121
40	1.0	13	10		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	122
40	0.5	13	10		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	114
81/2	0.5	13	10		5/8	5/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	115
41	1.0	13	10		3/4	3/4	2/2	2	1	1/4		1/4	1		-1	53	F3	3	123
41	0.5	13	10		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	116
83/2	0.5	13	10		7/8	7/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	117
42	1.0	14	11		0	0	2/2	2	1	1/4		1/4	1		4	52	E3	3	132
42	0.5	14	11		0	0	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	124
85/2	0.5	14	11		1/8	1/8	2/2	1	1	1/8		1/8	1		1	79	G5	5	125
43	1.0	14	11		1/4	1/4	2/2	2	1	1/4		1/4	1		0	48	C3	3	133
43	0.5	14	11		1/4	1/4	2/2	1	1	1/8		1/8	1		4	76	E5	5	126
87/2	0.5	14	11		3/8	3/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	127
44	1.0	14	11		1/2	1/2	2/2	2	1	1/4		1/4	1		2	50	D3	3	134
44	0.5	14	11		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	128
89/2	0.5	14	11		5/8	5/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	129
45	1.0	14	11		3/4	3/4	2/2	2	1	1/4		1/4	1		4	52	E3	3	135
45	0.5	14	11		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	130
91/2	0.5	14	11		7/8	7/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	131
46	1.0	15	12		0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	144
46	0.5	15	12		0	0	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	136
93/2	0.5	15	12		1/8	1/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	137
47	0.5	15	12		1/4	1/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	145
47	0.5	15	12		1/4	1/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	138
95/2	0.5	15	12		3/8	3/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	146
95/2	0.5	15	12		3/8	3/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	139
48	1.0	15	12		1/2	1/2	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	147
48	0.5	15	12		1/2	1/2	2/2	1	1	1/8		1/8	1		1	79	G5	5	140
97/2	0.5	15	12		5/8	5/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	141
49	1.0	15	12		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	148
49	0.5	15	12		3/4	3/4	2/2	1	1	1/8		1/8	1		4	76	E5	5	142
99/2	0.5	15	12		7/8	7/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	143
50	1.0	16	13		0	0	2/2	2	1	1/4		1/4	1		4	52	E3	3	157
50	0.5	16	13		0	0	2/2	1	1	1/8		1/8	1		1	79	G5	5	149
101/2	0.5	16	13		1/8	1/8	2/2	1	1	1/8		1/8	1		4	76	E5	5	150
51	1.0	16	13		1/4	1/4	2/2	2	1	1/4		1/4	1		3	45	A2	2	158
51	0.5	16	13		1/4	1/4	2/2	1	1	1/8		1/8	1		7	73	C#5	5	151
103/2	0.5	16	13		3/8	3/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	152
52	1.0	16	13		1/2	1/2	2/2	2	1	1/4		1/4	1		5	47	B2	2	159
52	0.5	16	13		1/2	1/2	2/2	1	1	1/8		1/8	1		1	79	G5	5	153
105/2	0.5	16	13		5/8	5/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	154
53	1.0	16	13		3/4	3/4	2/2	2	1	1/4		1/4	1		7	49	C#3	3	160
53	0.5	16	13		3/4	3/4	2/2	1	1	1/8		1/8	1		4	76	E5	5	155
107/2	0.5	16	13		7/8	7/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	156
54	1.0	17	14		0	0	2/2	2	1	1/4		1/4	1		2	50	D3	3	167
54	0.5	17	14		0	0	2/2	1	1	1/8		1/8	1		1	79	G5	5	161
109/2	0.5	17	14		1/8	1/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	162
55	1.0	17	14		1/4	1/4	2/2	2	1	1/4		1/4	1		2	38	D2	2	168
55	0.5	17	14		1/4	1/4	2/2	1	1	1/8		1/8	1		4	76	E5	5	163
111/2	0.5	17	14		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	164
56	1.0	17	14		1/2	1/2	2/2	2	1	1/4		1/4	1		2	62	D4	4	169
56	1.0	17	14		1/2	1/2	2/2	1	1	1/4		1/4	1		3	81	A5	5	165
57	0.5	17	14		3/4	3/4	2/2	2	1	1/8		1/8	1		-1	65	F4	4	170
57	1.0	17	14		3/4	3/4	2/2	1	1	1/4		1/4	1		3	81	A5	5	166
115/2	0.5	17	14		7/8	7/8	2/2	2	1	1/8		1/8	1		4	64	E4	4	171
58	1.0	18	15		0	0	2/2	2	1	1/4		1/4	1		-1	65	F4	4	173
58	4.0	18	15		0	0	2/2	1	1	1		1	1	1	3	81	A5	5	172
59	0.5	18	15		1/4	1/4	2/2	2	1	1/8		1/8	1		2	62	D4	4	174
119/2	0.5	18	15		3/8	3/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	175
60	1.0	18	15		1/2	1/2	2/2	2	1	1/4		1/4	1		4	64	E4	4	176
61	0.5	18	15		3/4	3/4	2/2	2	1	1/8		1/8	1		-5	61	Db4	4	177
123/2	0.5	18	15		7/8	7/8	2/2	2	1	1/8		1/8	1		3	57	A3	3	178
62	2.0	19	16		0	0	2/2	2	1	1/2		1/2	1		2	62	D4	4	186
62	1.0	19	16		0	0	2/2	1	1	1/4		1/4	1	-1	3	81	A5	5	179
63	0.5	19	16		1/4	1/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	180
127/2	0.5	19	16		3/8	3/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	181
64	1.0	19	16		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	187
64	0.5	19	16		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	182
129/2	0.5	19	16		5/8	5/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	183
65	1.0	19	16		3/4	3/4	2/2	2	1	1/4		1/4	1		3	57	A3	3	188
65	0.5	19	16		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	184
131/2	0.5	19	16		7/8	7/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	185
66	1.0	20	17		0	0	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	197
66	0.5	20	17		0	0	2/2	1	1	1/8		1/8	1		4	76	E5	5	189
133/2	0.5	20	17		1/8	1/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	190
67	1.0	20	17		1/4	1/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	198
67	0.5	20	17		1/4	1/4	2/2	1	1	1/8		1/8	1		7	73	C#5	5	191
135/2	0.5	20	17		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	192
68	1.0	20	17		1/2	1/2	2/2	2	1	1/4		1/4	1		3	57	A3	3	199
68	0.5	20	17		1/2	1/2	2/2	1	1	1/8		1/8	1		1	79	G5	5	193
137/2	0.5	20	17		5/8	5/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	194
69	1.0	20	17		3/4	3/4	2/2	2	1	1/4		1/4	1		3	45	A2	2	200
69	0.5	20	17		3/4	3/4	2/2	1	1	1/8		1/8	1		4	76	E5	5	195
139/2	0.5	20	17		7/8	7/8	2/2	1	1	1/8		1/8	1		-1	77	F5	5	196
70	0.5	21	18		0	0	2/2	2	1	1/8		1/8	1		2	38	D2	2	205
70	2.0	21	18		0	0	2/2	1	1	1/2		1/2	1		2	74	D5	5	201
141/2	0.5	21	18		1/8	1/8	2/2	2	1	1/8		1/8	1		2	50	D3	3	206
71	0.5	21	18		1/4	1/4	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	207
143/2	0.5	21	18		3/8	3/8	2/2	2	1	1/8		1/8	1		-1	53	F3	3	208
72	1.0	21	18		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	209
72	1.0	21	18		1/2	1/2	2/2	1	1	1/4		1/4	1		2	74	D5	5	202
73	1.0	21	18		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	210
73	0.5	21	18		3/4	3/4	2/2	1	1	1/8		1/8	1		-1	77	F5	5	203
147/2	0.5	21	18		7/8	7/8	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	204
74	4.0	22	19		0	0	2/2	2	1	1		1	1	1	1	55	G3	3	217
74	1.0	22	19		0	0	2/2	1	1	1/4		1/4	1		-1	77	F5	5	211
75	0.5	22	19		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	212
151/2	0.5	22	19		3/8	3/8	2/2	1	1	1/8		1/8	1		5	71	B4	4	213
76	1.0	22	19		1/2	1/2	2/2	1	1	1/4		1/4	1		-4	80	Ab5	5	214
77	0.5	22	19		3/4	3/4	2/2	1	1	1/8		1/8	1		-1	77	F5	5	215
155/2	0.5	22	19		7/8	7/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	216
78	2.0	23	20		0	0	2/2	2	1	1/2		1/2	1	-1	1	55	G3	3	224
78	1.0	23	20		0	0	2/2	1	1	1/4		1/4	1		-3	75	Eb5	5	218
79	0.5	23	20		1/4	1/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	219
159/2	0.5	23	20		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	220
80	1.0	23	20		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	225
80	1.0	23	20		1/2	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	221
81	1.0	23	20		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	226
81	0.5	23	20		3/4	3/4	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	222
163/2	0.5	23	20		7/8	7/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	223
82	2.0	24	21		0	0	2/2	2	1	1/2		1/2	1		1	55	G3	3	233
82	1.0	24	21		0	0	2/2	1	1	1/4		1/4	1		2	74	D5	5	227
83	0.5	24	21		1/4	1/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	228
167/2	0.5	24	21		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	229
84	1.0	24	21		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	234
84	1.0	24	21		1/2	1/2	2/2	1	1	1/4		1/4	1		1	79	G5	5	230
85	1.0	24	21		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	235
85	0.5	24	21		3/4	3/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	231
171/2	0.5	24	21		7/8	7/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	232
86	2.0	25	22		0	0	2/2	2	1	1/2		1/2	1		1	55	G3	3	242
86	1.0	25	22		0	0	2/2	1	1	1/4		1/4	1		0	72	C5	5	236
87	0.5	25	22		1/4	1/4	2/2	1	1	1/8		1/8	1		3	69	A4	4	237
175/2	0.5	25	22		3/8	3/8	2/2	1	1	1/8		1/8	1		6	66	F#4	4	238
88	0.5	25	22		1/2	1/2	2/2	2	1	1/8		1/8	1		1	55	G3	3	243
88	1.0	25	22		1/2	1/2	2/2	1	1	1/4		1/4	1		-3	75	Eb5	5	239
177/2	0.5	25	22		5/8	5/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	244
89	0.5	25	22		3/4	3/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	245
89	0.5	25	22		3/4	3/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	240
179/2	0.5	25	22		7/8	7/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	246
179/2	0.5	25	22		7/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	241
90	0.5	26	23		0	0	2/2	2	1	1/8		1/8	1		1	55	G3	3	254
90	1.0	26	23		0	0	2/2	1	1	1/4		1/4	1		2	74	D5	5	247
181/2	0.5	26	23		1/8	1/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	255
91	0.5	26	23		1/4	1/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	256
91	0.5	26	23		1/4	1/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	248
183/2	0.5	26	23		3/8	3/8	2/2	2	1	1/8		1/8	1		1	55	G3	3	257
183/2	0.5	26	23		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	249
92	0.5	26	23		1/2	1/2	2/2	2	1	1/8		1/8	1		1	55	G3	3	258
92	0.5	26	23		1/2	1/2	2/2	1	1	1/8		1/8	1		0	72	C5	5	250
185/2	0.5	26	23		5/8	5/8	2/2	2	1	1/8		1/8	1		6	54	F#3	3	259
185/2	0.5	26	23		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	251
93	1.0	26	23		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	260
93	0.5	26	23		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	252
187/2	0.5	26	23		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	253
94	1.0	27	24		0	0	2/2	2	1	1/4		1/4	1		2	50	D3	3	269
94	0.5	27	24		0	0	2/2	1	1	1/8		1/8	1		3	69	A4	4	261
189/2	0.5	27	24		1/8	1/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	262
95	1.0	27	24		1/4	1/4	2/2	2	1	1/4		1/4	1		0	48	C3	3	270
95	0.5	27	24		1/4	1/4	2/2	1	1	1/8		1/8	1		4	64	E4	4	263
191/2	0.5	27	24		3/8	3/8	2/2	1	1	1/8		1/8	1		6	66	F#4	4	264
96	1.0	27	24		1/2	1/2	2/2	2	1	1/4		1/4	1		-2	46	Bb2	2	271
96	0.5	27	24		1/2	1/2	2/2	1	1	1/8		1/8	1		1	67	G4	4	265
193/2	0.5	27	24		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	266
97	1.0	27	24		3/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	272
97	0.5	27	24		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	267
195/2	0.5	27	24		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	268
98	1.0	28	25		0	0	2/2	2	1	1/4		1/4	1		6	42	F#2	2	281
98	0.5	28	25		0	0	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	273
197/2	0.5	28	25		1/8	1/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	274
99	1.0	28	25		1/4	1/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	282
99	0.5	28	25		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	275
199/2	0.5	28	25		3/8	3/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	276
100	1.0	28	25		1/2	1/2	2/2	2	1	1/4		1/4	1		1	43	G2	2	283
100	0.5	28	25		1/2	1/2	2/2	1	1	1/8		1/8	1		0	72	C5	5	277
201/2	0.5	28	25		5/8	5/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	278
101	1.0	28	25		3/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	284
101	0.5	28	25		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	279
203/2	0.5	28	25		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	280
102	1.0	29	26		0	0	2/2	2	1	1/4		1/4	1		2	38	D2	2	290
102	1.0	29	26		0	0	2/2	1	1	1/4		1/4	1		3	69	A4	4	285
103	0.5	29	26		1/4	1/4	2/2	2	1	1/8		1/8	1		2	50	D3	3	291
103	1.0	29	26		1/4	1/4	2/2	1	1	1/4		1/4	1		2	62	D4	4	286
207/2	0.5	29	26		3/8	3/8	2/2	2	1	1/8		1/8	1		0	48	C3	3	292
