mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
11	9	27/2	27/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	78							
11	9	55/4	55/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	79							
11	9	25/2	25/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	80							
11	9	25/2	25/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	81							
11	9	13	13	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	82							
11	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	83							
12	10	14	14	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	84							
12	10	57/4	57/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	85							
12	10	29/2	29/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	86							
12	10	15	15	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	87							
12	10	14	14	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	88							
12	10	29/2	29/2	1.0	1/8	1/8	Chord	3/8	1	2	1/4	1/4	1	89							
12	10	14	14	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	90							
12	10	29/2	29/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	91							
12	10	15	15	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	92							
13	11	31/2	31/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	93							
13	11	16	16	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	94							
13	11	65/4	65/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	95							
13	11	33/2	33/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	96							
13	11	67/4	67/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	97							
13	11	31/2	31/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	98							
13	11	31/2	31/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	99							
13	11	16	16	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	100							
13	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	101							
14	12	17	17	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	102							
14	12	35/2	35/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	103							
14	12	71/4	71/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	104							
14	12	18	18	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	105							
14	12	73/4	73/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	106							
14	12	17	17	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	107							
14	12	18	18	0.25	1/4	1/4	Chord	3/8	1	2	1/16	1/16	1	108							
14	12	73/4	73/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16	1/16	1	109							
14	12	17	17	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	110							
15	13	37/2	37/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	111							
15	13	75/4	75/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	112							
15	13	19	19	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	113							
15	13	77/4	77/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	114							
15	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	115	articStaccatoAbove						
15	13	37/2	37/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	116							
15	13	19	19	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	117							
15	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	118							
15	13	37/2	37/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	119							
15	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	120							
16	14	20	20	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	121							
16	14	41/2	41/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	122							
16	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	123							
16	14	21	21	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	124							
16	14	85/4	85/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	125							
16	14	20	20	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	126							
16	14	20	20	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	127							
16	14	41/2	41/2	0.25	1/8	1/8	Chord	3/8	2	1	1/16	1/16	1	128							
16	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	2	1	1/16	1/16	1	129							
16	14	21	21	0.25	1/4	1/4	Chord	3/8	2	1	1/16	1/16	1	130							
16	14	85/4	85/4	0.25	5/16	5/16	Chord	3/8	2	1	1/16	1/16	1	131							
17	15	43/2	43/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	132							
17	15	87/4	87/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	133							
17	15	22	22	0.75	1/8	1/8	Chord	3/8	1	1	3/16	1/8	3/2	134	ornamentShortTrill						
17	15	91/4	91/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	135							
17	15	43/2	43/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	136							
17	15	22	22	1.0	1/8	1/8	Chord	3/8	1	2	1/4	1/4	1	137							
17	15	43/2	43/2	0.25	0	0	Chord	3/8	2	1	1/16	1/16	1	138							
17	15	87/4	87/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16	1/16	1	139							
17	15	22	22	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	140							
17	15	45/2	45/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	141							
18	16	23	23	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	142							
18	16	24	24	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	143							
18	16	23	23	1.0	0	0	Chord	3/8	1	2	1/4	1/4	1	144							
18	16	24	24	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	145							
18	16	23	23	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	146							
18	16	47/2	47/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	147							
18	16	24	24	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	148							
19	17	49/2	49/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	149							
19	17	25	25	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	150							
19	17	101/4	101/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	151							
19	17	51/2	51/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	152							
19	17	103/4	103/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	153							
19	17	49/2	49/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	154							
19	17	49/2	49/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	155							
19	17	25	25	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	156							
19	17	51/2	51/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	157							
20	18	26	26	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	158							
20	18	105/4	105/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	159							
20	18	53/2	53/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	160	articStaccatoAbove						
20	18	27	27	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	161	articStaccatoAbove						
20	18	26	26	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	162							
20	18	26	26	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	163							
20	18	53/2	53/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	164							
20	18	27	27	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	165							
21	19	55/2	55/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	166							
21	19	28	28	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	167							
21	19	113/4	113/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	168							
21	19	57/2	57/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	169							
21	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	170							
21	19	55/2	55/2	0.25	0	0	Chord	3/8	1	2	1/16	1/16	1	171							
21	19	111/4	111/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16	1/16	1	172							
21	19	28	28	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	173							
21	19	57/2	57/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	174							
21	19	55/2	55/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	175							
22	20	29	29	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	176							
22	20	117/4	117/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	177							
22	20	59/2	59/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	178	articStaccatoAbove						
22	20	30	30	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	179							
22	20	29	29	1.0	0	0	Chord	3/8	1	2	1/4	1/4	1	180							
22	20	30	30	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	181							
22	20	29	29	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	182							
22	20	59/2	59/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	183							
22	20	30	30	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	184							
23	21	61/2	61/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	185							
23	21	123/4	123/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	186							
23	21	31	31	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	187							
23	21	63/2	63/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	188							
23	21	61/2	61/2	0.25	0	0	Chord	3/8	1	2	1/16	1/16	1	189							
23	21	123/4	123/4	0.25	1/16	1/16	Chord	3/8	1	2	1/16	1/16	1	190							
23	21	31	31	0.25	1/8	1/8	Chord	3/8	1	2	1/16	1/16	1	191							
23	21	125/4	125/4	0.25	3/16	3/16	Chord	3/8	1	2	1/16	1/16	1	192							
23	21	63/2	63/2	0.25	1/4	1/4	Chord	3/8	1	2	1/16	1/16	1	193							
23	21	127/4	127/4	0.25	5/16	5/16	Chord	3/8	1	2	1/16	1/16	1	194							
23	21	61/2	61/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	195							
24	22	32	32	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	196							
24	22	129/4	129/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	197							
24	22	65/2	65/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	198							
24	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	199							
24	22	33	33	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	200							
24	22	133/4	133/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	201							
24	22	32	32	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	202							
24	22	65/2	65/2	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	203							
24	22	33	33	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	204							
24	22	32	32	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	205							
24	22	65/2	65/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	206							
24	22	33	33	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	207							
25	23	67/2	67/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	208							
25	23	34	34	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	209							
25	23	69/2	69/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	210							
25	23	67/2	67/2	0.5	0	0	Chord	3/8	1	2	1/8	1/8	1	211							
25	23	34	34	0.5	1/8	1/8	Chord	3/8	1	2	1/8	1/8	1	212							
25	23	69/2	69/2	0.5	1/4	1/4	Chord	3/8	1	2	1/8	1/8	1	213							
25	23	67/2	67/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	214							
25	23	34	34	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	215							
25	23	69/2	69/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	216							
26	24	35	35	0.0	0	0	SystemText	3/8	1	1	0					<i>Passepied I da capo</i>					
26	24	35	35	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	217							
26	24	35	35	1.0	0	0	Chord	3/8	1	2	1/4	1/4	1	218							
26	24	35	35	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	219							
