mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	decrescendo_hairpin
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	59								
6	6	15	15	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	60								
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	61								
6	6	16	16	0.75	1/4	1/4	Chord	3/4	2	1	3/16	1/8	3/2	62								
6	6	67/4	67/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32	1/32	1	63								
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32	1/32	1	64								
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	65	ornamentShortTrill							
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	66								
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	67								
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	68								
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	69								
7	7	19	19	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	70	ornamentShortTrill							
7	7	18	18	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	71								
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	72								
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	73								
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	74								
7	7	18	18	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	75								
7	7	75/4	75/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	76								
7	7	151/8	151/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	77								
7	7	19	19	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	78								
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	79								
8	8	21	21	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	80								
8	8	87/4	87/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	81								
8	8	175/8	175/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	82								
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	83								
8	8	21	21	0.0	0	0	Spanner	3/4	1	2	0											0
8	8	21	21	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	84								0
8	8	22	22	0.0	1/4	1/4	Spanner	3/4	1	2	0											
8	8	22	22	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	85								
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	86								
8	8	22	22	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	87								
8	8	21	21	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	88								
9	9	24	24	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	89								
9	9	99/4	99/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	90								
9	9	199/8	199/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	91								
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	92								
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	93								
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	94	ornamentShortTrill							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95								
9	9	24	24	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	96								
9	9	24	24	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	97								
9	9	24	24	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	98								
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	99								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	100								
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	101								
10	10	27	27	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	102								
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	103								
10	10	28	28	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	104								
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	105								
10	10	27	27	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	106								
10	10	28	28	0.25	1/4	1/4	Chord	3/4	2	2	1/16	1/16	1	107								
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	2	2	1/16	1/16	1	108								
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16	1/16	1	109								
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	110								
10	10	29	29	0.25	1/2	1/2	Chord	3/4	2	2	1/16	1/16	1	111								
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	2	2	1/16	1/16	1	112								
10	10	59/2	59/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16	1/16	1	113								
10	10	119/4	119/4	0.25	11/16	11/16	Chord	3/4	2	2	1/16	1/16	1	114								
11	11	30	30	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	115								
11	11	123/4	123/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	116								
11	11	247/8	247/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	117								
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	118								
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	119								
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	120								
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	121								
11	11	30	30	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	122								
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	123								
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	124								
11	11	30	30	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	125								
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	126								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	127								
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	128								
12	12	33	33	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	129								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	130								
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	131								
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	3	1/8	1/8	1	132								
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	3	1/2	1/2	1	133								
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	134								
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	135								
12	12	33	33	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	136								
12	12	34	34	0.25	1/4	1/4	Chord	3/4	2	2	1/16	1/16	1	137								
12	12	137/4	137/4	0.25	5/16	5/16	Chord	3/4	2	2	1/16	1/16	1	138								
12	12	69/2	69/2	0.25	3/8	3/8	Chord	3/4	2	2	1/16	1/16	1	139								
12	12	139/4	139/4	0.25	7/16	7/16	Chord	3/4	2	2	1/16	1/16	1	140								
12	12	35	35	0.25	1/2	1/2	Chord	3/4	2	2	1/16	1/16	1	141								
12	12	141/4	141/4	0.25	9/16	9/16	Chord	3/4	2	2	1/16	1/16	1	142								
12	12	71/2	71/2	0.25	5/8	5/8	Chord	3/4	2	2	1/16	1/16	1	143								
12	12	143/4	143/4	0.125	11/16	11/16	Chord	3/4	2	2	1/32	1/32	1	144								
12	12	287/8	287/8	0.125	23/32	23/32	Chord	3/4	2	2	1/32	1/32	1	145								
13	13	36	36	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	146								
13	13	147/4	147/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	147								
13	13	295/8	295/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	148								
13	13	37	37	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	149								
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	150								
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	151								
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	152								
13	13	36	36	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	153								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	154								
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	155								
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	156								
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	157	ornamentShortTrill							
14	14	39	39	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	158								
14	14	39	39	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	159								
14	14	159/4	159/4	0.125	3/16	3/16	Chord	3/4	1	2	1/32	1/32	1	160								
14	14	319/8	319/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32	1/32	1	161								
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	162								
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	163								
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	164								
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	165								
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	166								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	167								
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	168								
15	15	42	42	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	169								
15	15	171/4	171/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	170								
15	15	343/8	343/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	171								
15	15	43	43	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	172								
15	15	175/4	175/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	173								
15	15	44	44	0.75	1/2	1/2	Chord	3/4	1	1	3/16	1/8	3/2	174								
15	15	179/4	179/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	175								
15	15	42	42	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	176								
15	15	171/4	171/4	0.125	3/16	3/16	Chord	3/4	1	2	1/32	1/32	1	177								
15	15	343/8	343/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32	1/32	1	178								
15	15	43	43	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	179								
15	15	87/2	87/2	0.125	3/8	3/8	Chord	3/4	1	2	1/32	1/32	1	180								
15	15	349/8	349/8	0.125	13/32	13/32	Chord	3/4	1	2	1/32	1/32	1	181								
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	182								
15	15	42	42	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	183								
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	184								
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	185								
16	16	45	45	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	186								
16	16	91/2	91/2	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	187								
16	16	183/4	183/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	188								
16	16	46	46	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	189								
16	16	45	45	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	190								
16	16	46	46	0.25	1/4	1/4	Chord	3/4	2	1	1/16	1/16	1	191								
16	16	185/4	185/4	0.25	5/16	5/16	Chord	3/4	2	1	1/16	1/16	1	192								
16	16	93/2	93/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	193								
16	16	187/4	187/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	194								
16	16	47	47	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	195								
16	16	189/4	189/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	196								
16	16	95/2	95/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	197								
16	16	191/4	191/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32	1/32	1	198								
16	16	383/8	383/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32	1/32	1	199								
17	17	48	48	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	200								
17	17	195/4	195/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	201								
17	17	391/8	391/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	202								
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	203								
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	204								
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	205	ornamentShortTrill							
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	206								
17	17	48	48	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	207								
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	208								
17	17	49	49	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	209								
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	210								
18	18	51	51	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	211								
18	18	205/4	205/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	212								
18	18	103/2	103/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	213								
18	18	207/4	207/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	214								
18	18	52	52	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	215								
18	18	209/4	209/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	216								
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	217								
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	218								
18	18	53	53	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	219								
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	220								
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	221								
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	222								
18	18	51	51	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	223								
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	224								
18	18	51	51	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	225								
18	18	105/2	105/2	0.25	3/8	3/8	Chord	3/4	2	1	1/16	1/16	1	226								
18	18	211/4	211/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16	1/16	1	227								
18	18	53	53	0.25	1/2	1/2	Chord	3/4	2	1	1/16	1/16	1	228								
18	18	213/4	213/4	0.25	9/16	9/16	Chord	3/4	2	1	1/16	1/16	1	229								
18	18	107/2	107/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	230								
18	18	215/4	215/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	231								
19	19	54	54	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	232								
19	19	219/4	219/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	233								
19	19	439/8	439/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	234								
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	235								
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	236								
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	237	ornamentShortTrill							
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	238								
19	19	54	54	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	239								
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	240								
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	241								
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	242								
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	243								
19	19	54	54	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	244								
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	245								
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	246								
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	247								
20	20	57	57	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	248								
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	249								
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	250								
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	251								
20	20	57	57	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	252								
20	20	58	58	0.125	1/4	1/4	Chord	3/4	2	2	1/32	1/32	1	253								
20	20	465/8	465/8	0.125	9/32	9/32	Chord	3/4	2	2	1/32	1/32	1	254								
20	20	233/4	233/4	0.125	5/16	5/16	Chord	3/4	2	2	1/32	1/32	1	255								
20	20	467/8	467/8	0.125	11/32	11/32	Chord	3/4	2	2	1/32	1/32	1	256								
20	20	117/2	117/2	0.125	3/8	3/8	Chord	3/4	2	2	1/32	1/32	1	257								
20	20	469/8	469/8	0.125	13/32	13/32	Chord	3/4	2	2	1/32	1/32	1	258								
20	20	235/4	235/4	0.125	7/16	7/16	Chord	3/4	2	2	1/32	1/32	1	259								
20	20	471/8	471/8	0.125	15/32	15/32	Chord	3/4	2	2	1/32	1/32	1	260								
20	20	59	59	0.125	1/2	1/2	Chord	3/4	2	2	1/32	1/32	1	261								
20	20	473/8	473/8	0.125	17/32	17/32	Chord	3/4	2	2	1/32	1/32	1	262								
20	20	237/4	237/4	0.125	9/16	9/16	Chord	3/4	2	2	1/32	1/32	1	263								
20	20	475/8	475/8	0.125	19/32	19/32	Chord	3/4	2	2	1/32	1/32	1	264								
20	20	119/2	119/2	0.125	5/8	5/8	Chord	3/4	2	2	1/32	1/32	1	265								
20	20	477/8	477/8	0.125	21/32	21/32	Chord	3/4	2	2	1/32	1/32	1	266								
20	20	239/4	239/4	0.125	11/16	11/16	Chord	3/4	2	2	1/32	1/32	1	267								
20	20	479/8	479/8	0.125	23/32	23/32	Chord	3/4	2	2	1/32	1/32	1	268								
21	21	60	60	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	269								
21	21	243/4	243/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	270								
21	21	487/8	487/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	271								
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	272								
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	273								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	274	ornamentShortTrill							
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	275								
21	21	60	60	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	276								
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	277								
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	278								
21	21	60	60	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	279								
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	280								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	3	1/4	1/4	1	281								
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	282								
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	283								
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	284								
22	22	63	63	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	285								
22	22	255/4	255/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	286								
22	22	511/8	511/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	287								
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	288								
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	289								
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	290	ornamentShortTrill							
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	291								
22	22	63	63	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	292								
