mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
10	9	35	35	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	101							24
10	9	71/2	71/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	102							24
10	9	36	36	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	103							24
10	9	73/2	73/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	104							
10	9	33	33	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	105							25
10	9	67/2	67/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	106							
10	9	34	34	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	107							26
10	9	69/2	69/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	108							
10	9	35	35	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	109							27
10	9	71/2	71/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	110							27
10	9	36	36	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	111							27
10	9	73/2	73/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	112							
11	10	37	37	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	113							
11	10	38	38	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	114							
11	10	39	39	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	115							
11	10	79/2	79/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	116							
11	10	40	40	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	117							
11	10	81/2	81/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	118							
11	10	37	37	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	119							
11	10	75/2	75/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	120							
11	10	38	38	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	121							
11	10	77/2	77/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	122							
11	10	39	39	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	123							
11	10	40	40	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	124							
12	11	41	41	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	125							28
12	11	83/2	83/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	126							
12	11	42	42	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	127							29
12	11	85/2	85/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	128							
12	11	43	43	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	129							30
12	11	87/2	87/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	130							30
12	11	44	44	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	131							30
12	11	89/2	89/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	132							
12	11	41	41	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	133							31
12	11	83/2	83/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	134							
12	11	42	42	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	135							32
12	11	85/2	85/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	136							
12	11	43	43	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	137							33
12	11	87/2	87/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	138							33
12	11	44	44	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	139							33
12	11	89/2	89/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	140							
13	12	45	45	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	141							34
13	12	91/2	91/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	142							34
13	12	46	46	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	143							34
13	12	93/2	93/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	144							
13	12	47	47	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	145							35
13	12	95/2	95/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	146							
13	12	48	48	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	147							36
13	12	97/2	97/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	148							
13	12	45	45	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	149							
13	12	46	46	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	150							
13	12	47	47	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	151							
13	12	48	48	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	152							
14	13	49	49	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	153							37
14	13	99/2	99/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	154							37
14	13	50	50	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	155							37
14	13	101/2	101/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	156							
14	13	51	51	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	157							38
14	13	103/2	103/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	158							
14	13	52	52	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	159							39
14	13	105/2	105/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	160							
14	13	49	49	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	161							
14	13	50	50	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	162							
14	13	51	51	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	163							40
14	13	103/2	103/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	164							
14	13	52	52	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	165							41
14	13	105/2	105/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	166							
15	14	53	53	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	167							42
15	14	107/2	107/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	168							42
15	14	54	54	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	169							42
15	14	109/2	109/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	170							
15	14	55	55	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	171							43
15	14	111/2	111/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	172							
15	14	56	56	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	173							44
15	14	113/2	113/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	174							
15	14	53	53	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	175							45
15	14	107/2	107/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	176							45
15	14	54	54	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	177							45
15	14	109/2	109/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	178							
15	14	55	55	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	179							46
15	14	111/2	111/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	180							
15	14	56	56	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	181							47
15	14	113/2	113/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	182							
16	15	57	57	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	183							48
16	15	115/2	115/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	184							
16	15	58	58	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	185							
16	15	59	59	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	186	ornamentShortTrill						
16	15	60	60	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	187							
16	15	121/2	121/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	188							
16	15	57	57	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	189							49
16	15	115/2	115/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	190							49
16	15	58	58	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	191							49
16	15	117/2	117/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	192							
16	15	59	59	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	193							
16	15	60	60	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	194							
17	16		61	3.0	1	0	0	Chord	2/2	1	1	3/4		1/2	3/2	195							
17	16		64	1.0	1	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	196							
17	16		61	0.5	1	0	0	Chord	2/2	2	1	1/8		1/8	1	197							50
17	16		123/2	0.5	1	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	198							
17	16		62	0.5	1	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	199							51
17	16		125/2	0.5	1	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	200							
17	16		63	0.5	1	1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	201							52
17	16		127/2	0.5	1	5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	202							52
17	16		64	0.5	1	3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	203							52
17	16		129/2	0.5	1	7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	204							
18	1		65	0.5	1	0	0	Chord	2/2	1	1	1/8		1/8	1	205							53
18	1		131/2	0.5	1	1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	206							
18	1		66	0.5	1	1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	207							54
18	1		133/2	0.5	1	3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	208							
18	1		67	0.5	1	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	209							55
18	1		135/2	0.5	1	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	210							55
18	1		68	0.5	1	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	211							55
18	1		137/2	0.5	1	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	212							
18	1		65	1.0	1	0	0	Chord	2/2	2	1	1/4		1/4	1	213	ornamentShortTrill						
18	1		66	0.5	1	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	214							
18	1		133/2	0.5	1	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	215							
18	1		67	1.0	1	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	216							
19	16	61	69	3.0	2	0	0	Chord	2/2	1	1	3/4		1/2	3/2	217							
19	16	61	69	3.0	2	0	0	Chord	2/2	2	1	3/4		1/2	3/2	218							
19	16	62	70	1.0	2	1/4	1/4	Chord	2/2	2	2	1/4		1/4	1	219							
19	16	63	71	1.0	2	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	220							
20	16	64	72	1.0		0	3/4	Chord	2/2	1	1	1/4		1/4	1	221							
21	17	65	73	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	222							56
21	17	131/2	147/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	223							
21	17	66	74	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	224							57
21	17	133/2	149/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	225							
21	17	67	75	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	226							58
21	17	135/2	151/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	227							
21	17	68	76	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	228							
21	17	68	76	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	229							
22	18	69	77	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	230	ornamentShortTrill						
22	18	70	78	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	231							59
22	18	141/2	157/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	232							
22	18	71	79	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	233							60
22	18	143/2	159/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	234							60
22	18	72	80	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	235							60
22	18	145/2	161/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	236							
22	18	69	77	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	237							61
22	18	139/2	155/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	238							
22	18	70	78	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	239							62
22	18	141/2	157/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	240							
22	18	71	79	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	241							63
22	18	143/2	159/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	242							
22	18	72	80	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	243							
23	19	73	81	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	244							64
23	19	147/2	163/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	245							
23	19	74	82	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	246							65
23	19	149/2	165/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	247							
23	19	75	83	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	248							66
23	19	151/2	167/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	249							
23	19	76	84	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	250							
23	19	73	81	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	251	ornamentShortTrill						
23	19	74	82	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	252							67
23	19	149/2	165/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	253							
23	19	75	83	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	254							
23	19	76	84	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	255							
24	20	77	85	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	256	ornamentShortTrill						
24	20	78	86	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	257							68
24	20	157/2	173/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	258							
24	20	79	87	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	259							
24	20	80	88	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	260							
24	20	77	85	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	261							69
24	20	155/2	171/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	262							
24	20	78	86	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	263							70
24	20	157/2	173/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	264							
24	20	79	87	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	265							71
24	20	159/2	175/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	266							
24	20	80	88	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	267							
25	21	81	89	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	268							72
25	21	163/2	179/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	269							72
25	21	82	90	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	270							72
25	21	165/2	181/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	271							
25	21	83	91	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	272							73
25	21	167/2	183/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	273							
25	21	84	92	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	274							74
25	21	169/2	185/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	275							
25	21	81	89	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	276							
25	21	84	92	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	277							
26	22	85	93	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	278							75
26	22	171/2	187/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	279							75
26	22	86	94	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	280							75
26	22	173/2	189/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	281							
26	22	87	95	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	282							76
26	22	175/2	191/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	283							
26	22	88	96	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	284							77
26	22	177/2	193/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	285							
26	22	85	93	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	286							
26	22	88	96	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	287							
27	23	89	97	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	288							78
27	23	179/2	195/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	289							78
27	23	90	98	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	290							78
27	23	181/2	197/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	291							
27	23	91	99	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	292							79
