mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	slur
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	49			
6	6	15	15	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	50			
6	6	17	17	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	51			
7	7	18	18	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	52			
7	7	19	19	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	53			
7	7	20	20	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	54	ornamentTrill		
7	7	18	18	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	55			
7	7	19	19	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	56			
7	7	20	20	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	57			
8	8		21	3.0	1	0	0	Chord	3/4	1	1	3/4	1/2	3/2	58			
8	8		21	0.5	1	0	0	Chord	3/4	2	1	1/8	1/8	1	59			6
8	8		43/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	60			6
8	8		22	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	61			6
8	8		45/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	62			6
8	8		23	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	63			6
8	8		47/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	64			
9	8	21	24	3.0	2	0	0	Chord	3/4	1	1	3/4	1/2	3/2	65			
9	8	21	24	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	66			
9	8	22	25	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	67			
9	8	23	26	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68			
10	9	24	27	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	69			7
10	9	49/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	70			7
10	9	25	28	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	71			7
10	9	51/2	57/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	72			7
10	9	26	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	73			7
10	9	53/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	74			
10	9	24	27	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	75			
10	9	25	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	76			
10	9	26	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	77			
11	10	27	30	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	78			8
11	10	55/2	61/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	79			8
11	10	28	31	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	80			8
11	10	57/2	63/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	81			8
11	10	29	32	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	82			8
11	10	59/2	65/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	83			
11	10	27	30	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	84			
12	11	30	33	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	85			9
12	11	61/2	67/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	86			9
12	11	31	34	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	87			9
12	11	63/2	69/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	88			9
12	11	32	35	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	89			9
12	11	65/2	71/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	90			
12	11	30	33	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	91			
12	11	31	34	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	92			
12	11	32	35	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	93			
13	12	33	36	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	94			10
13	12	67/2	73/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	95			10
13	12	34	37	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	96			10
13	12	69/2	75/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	97			
13	12	35	38	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	98			
13	12	33	36	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	99			11
13	12	67/2	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	100			11
13	12	34	37	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	101			11
13	12	69/2	75/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	102			11
13	12	35	38	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	103			11
13	12	71/2	77/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	104			
14	13	36	39	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	105			12
14	13	73/2	79/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	106			12
14	13	37	40	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	107			12
14	13	75/2	81/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	108			12
14	13	38	41	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	109			12
14	13	77/2	83/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	110			
14	13	36	39	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	111			
15	14	39	42	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	112			13
15	14	79/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	113			13
15	14	40	43	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	114			13
15	14	81/2	87/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	115			13
15	14	41	44	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	116			13
15	14	83/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	117			
15	14	39	42	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	118			
15	14	40	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	119			
15	14	41	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	120			
16	15	42	45	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	121			
16	15	43	46	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	122			14
16	15	87/2	93/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	123			14
16	15	44	47	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	124			14
16	15	89/2	95/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	125			
16	15	42	45	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	126			
16	15	43	46	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	127			
16	15	44	47	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	128			
17	16	45	48	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	129			
17	16	45	48	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	130			15
17	16	91/2	97/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	131			15
17	16	46	49	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	132			15
17	16	93/2	99/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	133			15
17	16	47	50	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	134			15
17	16	95/2	101/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	135			
18	17	48	51	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	136			16
18	17	97/2	103/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	137			16
18	17	49	52	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	138			16
18	17	99/2	105/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	139			16
18	17	50	53	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	140			16
18	17	101/2	107/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	141			
18	17	48	51	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	142			
18	17	49	52	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	143			
18	17	50	53	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	144			
19	18	51	54	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	145			17
19	18	103/2	109/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	146			17
19	18	52	55	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	147			17
19	18	105/2	111/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	148			17
19	18	53	56	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	149			17
19	18	107/2	113/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	150			
19	18	51	54	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	151			
19	18	52	55	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	152			
19	18	53	56	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	153			
20	19	54	57	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	154			18
20	19	109/2	115/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	155			18
20	19	55	58	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	156			18
20	19	111/2	117/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	157			18
20	19	56	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	158			18
20	19	113/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	159			
20	19	54	57	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	160			
20	19	55	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	161			
20	19	56	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	162			
21	20	57	60	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	163			19
21	20	115/2	121/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	164			19
21	20	58	61	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	165			19
21	20	117/2	123/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	166			19
21	20	59	62	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	167			19
21	20	119/2	125/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	168			
21	20	57	60	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	169			
21	20	58	61	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	170			
21	20	59	62	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	171			
22	21	60	63	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	172			20
22	21	121/2	127/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	173			20
22	21	61	64	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	174			20
22	21	123/2	129/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	175			20
22	21	62	65	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	176			20
22	21	125/2	131/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	177			
22	21	60	63	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	178			
22	21	61	64	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	179			
22	21	62	65	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	180			
23	22	63	66	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	181			21
23	22	127/2	133/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	182			21
23	22	64	67	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	183			21
23	22	129/2	135/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	184			21
23	22	65	68	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	185			21
23	22	131/2	137/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	186			
23	22	63	66	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	187			
23	22	64	67	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	188			
23	22	65	68	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	189			
24	23	66	69	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	190			22
24	23	133/2	139/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	191			22
24	23	67	70	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	192			22
24	23	135/2	141/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	193			22
24	23	68	71	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	194			22
24	23	137/2	143/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	195			
24	23	66	69	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	196			
24	23	67	70	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	197			
24	23	68	71	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	198			
25	24	69	72	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	199			23
25	24	139/2	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	200			23
25	24	70	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	201			23
25	24	141/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	202			23
25	24	71	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	203			23
25	24	143/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	204			
25	24	69	72	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	205			
25	24	70	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	206			
26	25	72	75	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	207	ornamentTrill		
26	25	72	75	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	208			24
26	25	145/2	151/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	209			24
26	25	73	76	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	210			24
26	25	147/2	153/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	211			24
26	25	74	77	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	212			24
26	25	149/2	155/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	213			
27	26	75	78	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	214			
27	26	75	78	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	215			25
27	26	151/2	157/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	216			25
27	26	76	79	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	217			25
27	26	153/2	159/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	218			25
27	26	77	80	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	219			25
27	26	155/2	161/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	220			
28	27	78	81	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	221			26
28	27	157/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	222			26
28	27	79	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	223			26
28	27	159/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	224			26
28	27	80	83	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	225			26
28	27	161/2	167/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	226			
28	27	78	81	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	227			
28	27	79	82	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	228			
28	27	80	83	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	229			
29	28	81	84	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	230			27
29	28	163/2	169/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	231			27
29	28	82	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	232			27
29	28	165/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	233			27
29	28	83	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	234			27
29	28	167/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	235			
29	28	81	84	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	236			
29	28	82	85	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	237			
29	28	83	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	238			
30	29	84	87	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	239			28
30	29	169/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	240			28
30	29	85	88	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	241			28
30	29	171/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	242			28
30	29	86	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	243			28
30	29	173/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	244			
30	29	84	87	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	245			
31	30	87	90	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	246			29
31	30	175/2	181/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	247			29
31	30	88	91	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	248			29
31	30	177/2	183/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	249			29
31	30	89	92	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	250			29
31	30	179/2	185/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	251			
31	30	87	90	2.0		0	0	Chord	3/4	2	1	1/2	1/2	1	252			
32	31	90	93	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	253			
32	31	91	94	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	254			30
32	31	183/2	189/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	255			30
32	31	92	95	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	256			30
32	31	185/2	191/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	257			
32	31	90	93	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	258			
32	31	91	94	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	259			
32	31	92	95	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	260			
33	32	93	96	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	261			
33	32	93	96	3.0		0	0	Chord	3/4	2	1	3/4	1/2	3/2	262			
