mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
6	5	13	13	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	35							
6	5	27/2	27/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	36							
6	5	14	14	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	37							
6	5	29/2	29/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	38							
6	5	15	15	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	39							
6	5	25/2	25/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	40							
6	5	13	13	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	41							
6	5	27/2	27/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	42							
6	5	14	14	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	43							
6	5	29/2	29/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	44							
6	5	15	15	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	45							
7	6	31/2	31/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	46							
7	6	16	16	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	47							
7	6	33/2	33/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	48							
7	6	17	17	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	49							
7	6	35/2	35/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	50							
7	6	18	18	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	51							
7	6	31/2	31/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	52							
7	6	16	16	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	53							
7	6	33/2	33/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	54							
7	6	17	17	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	55							
7	6	35/2	35/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	56							
7	6	18	18	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	57							
8	7	37/2	37/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	58							
8	7	19	19	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	59							
8	7	39/2	39/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	60							
8	7	20	20	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	61	ornamentShortTrill						
8	7	41/2	41/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	62							
8	7	21	21	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	63							
8	7	37/2	37/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	64							
8	7	19	19	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	65							
8	7	39/2	39/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	66							
8	7	20	20	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	67							
8	7	41/2	41/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	68							
8	7	21	21	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	69							
9	8	43/2	43/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	70							
9	8	22	22	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	71							
9	8	45/2	45/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	72							
9	8	23	23	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	73							
9	8	47/2	47/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	74							
9	8	24	24	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	75							
9	8	43/2	43/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	76							
9	8	22	22	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	77							
9	8	45/2	45/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	78							
9	8	23	23	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	79							
9	8	47/2	47/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	80							
9	8	24	24	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	81							
10	9	49/2	49/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	82							
10	9	25	25	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	83							
10	9	51/2	51/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	84							
10	9	26	26	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	85	ornamentShortTrill						
10	9	53/2	53/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	86							
10	9	27	27	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	87							
10	9	49/2	49/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	88							
10	9	25	25	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	89							
10	9	51/2	51/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	90							
10	9	26	26	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	91							
10	9	53/2	53/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	92							
10	9	27	27	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	93							
11	10	55/2	55/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	94							
11	10	28	28	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	95							
11	10	57/2	57/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	96							
11	10	29	29	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	97							
11	10	59/2	59/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	98							
11	10	30	30	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	99							
11	10	55/2	55/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	100							
11	10	28	28	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	101							
11	10	57/2	57/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	102							
11	10	29	29	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	103							
11	10	59/2	59/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	104							
11	10	30	30	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	105							
12	11	61/2	61/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	106							
12	11	31	31	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	107							
12	11	63/2	63/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	108							
12	11	32	32	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	109	ornamentShortTrill						
12	11	65/2	65/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	110							
12	11	33	33	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	111							
12	11	61/2	61/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	112							
12	11	31	31	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	113							
12	11	63/2	63/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	114							
12	11	32	32	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	115							
12	11	65/2	65/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	116							
12	11	33	33	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	117							
13	12	67/2	67/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	118							
13	12	34	34	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	119							
13	12	69/2	69/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	120							
13	12	35	35	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	121							
13	12	71/2	71/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	122							
13	12	36	36	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	123							
13	12	67/2	67/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	124							
13	12	34	34	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	125							
13	12	69/2	69/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	126							
13	12	35	35	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	127							
13	12	71/2	71/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	128							
13	12	36	36	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	129							
14	13	73/2	73/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	130							
14	13	37	37	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	131							
14	13	75/2	75/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	132							
14	13	38	38	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	133							
14	13	77/2	77/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	134							
14	13	39	39	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	135							
14	13	73/2	73/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	136							
14	13	37	37	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	137							
14	13	75/2	75/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	138							
14	13	38	38	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	139							
14	13	77/2	77/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	140							
14	13	39	39	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	141							
15	14	79/2	79/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	142							
15	14	40	40	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	143							
15	14	81/2	81/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	144							
15	14	41	41	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	145							
15	14	83/2	83/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	146							
15	14	42	42	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	147							
15	14	79/2	79/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	148							
15	14	40	40	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	149							
15	14	81/2	81/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	150							
15	14	41	41	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	151							
15	14	83/2	83/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	152							
15	14	42	42	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	153							
16	15	85/2	85/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	154							
16	15	43	43	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	155							
16	15	87/2	87/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	156							
16	15	44	44	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	157							
16	15	89/2	89/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	158							
16	15	45	45	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	159							
16	15	85/2	85/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	160							
16	15	43	43	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	161							
16	15	87/2	87/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	162							
16	15	44	44	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	163							
16	15	89/2	89/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	164							
16	15	45	45	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	165							
17	16	91/2	91/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	166							
17	16	46	46	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	167							
17	16	93/2	93/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	168							
17	16	47	47	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	169							
17	16	95/2	95/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	170							
17	16	48	48	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	171							
17	16	91/2	91/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	172							
17	16	48	48	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	173							
18	17	97/2	97/2	1.0		0	0	Chord	6/8	1	1	1/4	1/4	1	174							
18	17	99/2	99/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	175							
18	17	50	50	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	176							
18	17	101/2	101/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	177							
18	17	51	51	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	178							
18	17	97/2	97/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	179							
18	17	49	49	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	180							
18	17	99/2	99/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	181							
18	17	50	50	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	182							
18	17	101/2	101/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	183							
18	17	51	51	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	184							
19	18	103/2	103/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	185							
19	18	52	52	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	186							
19	18	105/2	105/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	187							
19	18	53	53	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	188							
19	18	107/2	107/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	189							
19	18	54	54	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	190							
19	18	103/2	103/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	191							
19	18	52	52	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	192							
19	18	105/2	105/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	193							
19	18	53	53	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	194							
19	18	107/2	107/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	195							
19	18	54	54	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	196							
20	19	109/2	109/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	197							
20	19	55	55	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	198							
20	19	111/2	111/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	199							
20	19	56	56	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	200							
20	19	113/2	113/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	201							
20	19	57	57	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	202							
20	19	109/2	109/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	203							
20	19	55	55	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	204							
20	19	111/2	111/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	205							
20	19	56	56	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	206							
20	19	113/2	113/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	207							
20	19	57	57	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	208							
21	20	115/2	115/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	209							
21	20	58	58	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	210							
21	20	117/2	117/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	211							
21	20	59	59	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	212							
21	20	119/2	119/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	213							
21	20	60	60	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	214							
21	20	115/2	115/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	215							
21	20	58	58	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	216							
21	20	117/2	117/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	217							
21	20	59	59	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	218							
21	20	119/2	119/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	219							
21	20	60	60	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	220							
22	21	121/2	121/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	221							
22	21	61	61	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	222							
22	21	123/2	123/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	223							
22	21	62	62	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	224							
22	21	125/2	125/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	225							
22	21	63	63	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	226							
22	21	121/2	121/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	227							
22	21	63	63	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	228							
23	22	127/2	127/2	1.5		0	0	Chord	6/8	1	1	3/8	1/4	3/2	229							
23	22	66	66	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	230							
23	22	127/2	127/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	231							
23	22	64	64	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	232							
23	22	129/2	129/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	233							
23	22	65	65	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	234							
23	22	131/2	131/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	235							
23	22	66	66	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	236							
24	23	133/2	133/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	237							
24	23	67	67	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	238							
24	23	135/2	135/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	239							
24	23	68	68	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	240							
24	23	137/2	137/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	241							
24	23	69	69	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	242							
24	23	133/2	133/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	243							
24	23	69	69	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	244							
25	24	139/2	139/2	1.5		0	0	Chord	6/8	1	1	3/8	1/4	3/2	245							
25	24	72	72	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	246							
25	24	139/2	139/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	247							
25	24	70	70	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	248							
25	24	141/2	141/2	0.5		1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	249							
25	24	71	71	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	250							
25	24	143/2	143/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	251							
25	24	72	72	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	252							
26	25	145/2	145/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	253							
26	25	73	73	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	254							
26	25	147/2	147/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	255							
26	25	74	74	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	256							
26	25	149/2	149/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	257							
26	25	75	75	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	258							
26	25	145/2	145/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	259							
26	25	74	74	1.5		3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	260							
27	26	151/2	151/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	261							
27	26	76	76	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	262							
27	26	153/2	153/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	263							
27	26	77	77	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	264							
27	26	155/2	155/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	265							
27	26	78	78	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	266							
27	26	151/2	151/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	267							
27	26	77	77	1.5		3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	268							
28	27	157/2	157/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	269							
28	27	79	79	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	270							
28	27	159/2	159/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	271							
28	27	80	80	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	272							
28	27	161/2	161/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	273							
28	27	81	81	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	274							
28	27	157/2	157/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	275							
28	27	80	80	1.5		3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	276							
29	28	163/2	163/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	277							
29	28	82	82	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	278							
29	28	165/2	165/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	279							
29	28	83	83	1.0		3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	280							
29	28	84	84	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	281							
29	28	163/2	163/2	1.5		0	0	Chord	6/8	2	1	3/8	1/4	3/2	282							
29	28	83	83	0.5		3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	283							
29	28	167/2	167/2	0.5		1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	284							
29	28	84	84	0.5		5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	285							
30	29	169/2	169/2	0.5		0	0	Chord	6/8	1	1	1/8	1/8	1	286							
30	29	85	85	0.5		1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	287							
30	29	171/2	171/2	0.5		1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	288							
30	29	86	86	0.5		3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	289							
30	29	173/2	173/2	0.5		1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	290							
30	29	87	87	0.5		5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	291							
30	29	169/2	169/2	0.5		0	0	Chord	6/8	2	1	1/8	1/8	1	292							
30	29	85	85	0.5		1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	293							
