mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
17	14	56	60	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	176							
17	14	57	61	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	177							
17	14	115/2	123/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	178							
18	15	58	62	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	179							14
18	15	117/2	125/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	180							14
18	15	59	63	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	181							14
18	15	119/2	127/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	182							
18	15	60	64	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	183							15
18	15	121/2	129/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	184							15
18	15	61	65	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	185							15
18	15	123/2	131/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	186							
18	15	58	62	1.0		0	0	Chord	2/2	2	1	1/4	1/4	1	187							
18	15	59	63	1.0		1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	188							
18	15	60	64	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	189							
18	15	61	65	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	190							
19	16	62	66	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	191							
19	16	64	68	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	192							
19	16	129/2	137/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	193							
19	16	65	69	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	194							
19	16	131/2	139/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	195							
19	16	62	66	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	196							
19	16	125/2	133/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	197							
19	16	63	67	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	198							
19	16	127/2	135/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	199							
19	16	64	68	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	200							
19	16	65	69	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	201							
20	17	66	70	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	202							
20	17	133/2	141/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	203							
20	17	67	71	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	204							
20	17	135/2	143/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	205							
20	17	68	72	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	206							
20	17	137/2	145/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	207							
20	17	69	73	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	208							
20	17	139/2	147/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	209							
20	17	66	70	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	210							
20	17	133/2	141/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	211							
20	17	67	71	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	212							
20	17	135/2	143/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	213							
20	17	68	72	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	214							
20	17	69	73	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	215							
21	18	70	74	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	216							
21	18	141/2	149/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	217							
21	18	71	75	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	218							
21	18	143/2	151/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	219							
21	18	72	76	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	220							
21	18	145/2	153/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	221							
21	18	73	77	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	222							
21	18	147/2	155/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	223							
21	18	70	74	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	224							
21	18	141/2	149/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	225							
21	18	71	75	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	226							
21	18	143/2	151/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	227							
21	18	72	76	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	228							
21	18	145/2	153/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	229							
21	18	73	77	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	230							
21	18	147/2	155/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	231							
22	19	74	78	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	232							
22	19	149/2	157/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	233							
22	19	75	79	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	234							
22	19	151/2	159/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	235							
22	19	76	80	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	236							
22	19	153/2	161/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	237							
22	19	77	81	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	238							
22	19	155/2	163/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	239							
22	19	74	78	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	240							
22	19	149/2	157/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	241							
22	19	75	79	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	242							
22	19	151/2	159/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	243							
22	19	76	80	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	244							
22	19	153/2	161/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	245							
22	19	77	81	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	246							
22	19	155/2	163/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	247							
23	20	78	82	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	248							
23	20	80	84	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	249							
23	20	161/2	169/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	250							
23	20	81	85	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	251							
23	20	163/2	171/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	252							
23	20	78	82	2.0		0	0	Chord	2/2	1	2	1/2	1/2	1	253							
23	20	78	82	0.5		0	0	Chord	2/2	2	1	1/8	1/8	1	254							
23	20	157/2	165/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8	1/8	1	255							
23	20	79	83	0.5		1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	256							
23	20	159/2	167/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	257							
23	20	80	84	1.0		1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	258							
23	20	81	85	1.0		3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	259							
24	21	82	86	0.5		0	0	Chord	2/2	1	1	1/8	1/8	1	260							
24	21	165/2	173/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	261							
24	21	83	87	0.5		1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	262							
24	21	167/2	175/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	263							
24	21	84	88	0.5		1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	264							
24	21	169/2	177/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	265							
24	21	85	89	0.5		3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	266							
24	21	171/2	179/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	267							
24	21	82	86	1.5		0	0	Chord	2/2	2	1	3/8	1/4	3/2	268							
24	21	167/2	175/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	269							
24	21	84	88	0.5		1/2	1/2	Chord	2/2	2	1	1/8	1/8	1	270							
24	21	169/2	177/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8	1/8	1	271							
24	21	85	89	0.5		3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	272							
24	21	171/2	179/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	273							
25	22	86	90	2.0		0	0	Chord	2/2	1	1	1/2	1/2	1	274							
25	22	86	90	2.0		0	0	Chord	2/2	2	1	1/2	1/2	1	275							
