mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
7	6	49/2	49/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	72						
7	6	25	25	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	73						
7	6	51/2	51/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	74						
8	7	26	26	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	75						
8	7	53/2	53/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	76						
8	7	27	27	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	77						
8	7	55/2	55/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	78						
8	7	28	28	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	79						
8	7	57/2	57/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	80						
8	7	29	29	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	81						
8	7	26	26	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	82						
8	7	27	27	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	83						
8	7	28	28	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	84						
8	7	29	29	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	85						
9	8		30	0.0	1	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	86						
9	8		30	2.0	1	0	0	Chord	2/2	1	1	1/2		1/2	1	87						
9	8		30	0.5	1	0	0	Chord	2/2	2	1	1/8		1/8	1	88						
9	8		61/2	0.5	1	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	89						
9	8		31	0.5	1	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	90						
9	8		63/2	0.5	1	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	91						
10	8	30	32	0.0	2	0	0	Chord	2/2	1	1	0	appoggiatura	1/8	1	92						
10	8	30	32	2.0	2	0	0	Chord	2/2	1	1	1/2		1/2	1	93						
10	8	30	32	0.5	2	0	0	Chord	2/2	2	1	1/8		1/8	1	94						
10	8	61/2	65/2	0.5	2	1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	95						
10	8	31	33	0.5	2	1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	96						
10	8	63/2	67/2	0.5	2	3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	97						
11	8	32	34	1.0		0	1/2	Chord	2/2	1	1	1/4		1/4	1	98						
11	8	33	35	0.5		1/4	3/4	Chord	2/2	1	1	1/8		1/8	1	99						
11	8	67/2	71/2	0.5		3/8	7/8	Chord	2/2	1	1	1/8		1/8	1	100						
11	8	32	34	1.0		0	1/2	Chord	2/2	2	1	1/4		1/4	1	101						
11	8	33	35	1.0		1/4	3/4	Chord	2/2	2	1	1/4		1/4	1	102						
12	9	34	36	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	103						
12	9	35	37	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	104						
12	9	71/2	75/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	105						
12	9	36	38	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	106						
12	9	37	39	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	107						
12	9	75/2	79/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	108						
12	9	34	36	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	109						
12	9	35	37	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	110						
12	9	36	38	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	111						
12	9	37	39	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	112						
13	10	38	40	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	113						
13	10	40	42	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	114						
13	10	81/2	85/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	115						
13	10	41	43	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	116						
13	10	83/2	87/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	117						
13	10	38	40	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	118						
13	10	77/2	81/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	119						
13	10	39	41	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	120						
13	10	79/2	83/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	121						
13	10	40	42	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	122						
13	10	41	43	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	123						
14	11	42	44	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	124						
14	11	85/2	89/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	125						
14	11	43	45	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	126						
14	11	87/2	91/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	127						
14	11	44	46	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	128						
14	11	89/2	93/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	129						
14	11	45	47	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	130						
14	11	91/2	95/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	131						
14	11	42	44	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	132						
14	11	43	45	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	133						
14	11	44	46	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	134						
14	11	45	47	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	135						
15	12	46	48	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	136						
15	12	93/2	97/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	137						
15	12	47	49	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	138						
15	12	95/2	99/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	139						
15	12	48	50	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	140						
15	12	97/2	101/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	141						
15	12	49	51	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	142						
15	12	99/2	103/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	143						
15	12	46	48	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	144						
15	12	47	49	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	145						
15	12	95/2	99/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	146						
15	12	48	50	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	147						
15	12	49	51	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	148						
16	13	50	52	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	149						
16	13	101/2	105/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	150						
16	13	51	53	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	151						
16	13	103/2	107/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	152						
16	13	52	54	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	153						
16	13	105/2	109/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	154						
16	13	53	55	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	155						
16	13	107/2	111/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	156						
16	13	50	52	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	157						
16	13	51	53	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	158						
16	13	52	54	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	159						
16	13	53	55	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	160						
17	14	54	56	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	161						
17	14	109/2	113/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	162						
17	14	55	57	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	163						
17	14	111/2	115/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	164						
17	14	56	58	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	165						
17	14	57	59	1.0		3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	166						
17	14	54	56	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	167						
17	14	55	57	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	168						
17	14	56	58	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	169						
17	14	57	59	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	170						
17	14	115/2	119/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	171						
18	15	58	60	4.0		0	0	Chord	2/2	1	1	1		1	1	172	ornamentShortTrill					
18	15	58	60	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	173						
18	15	59	61	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	174						
18	15	119/2	123/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	175						
18	15	60	62	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	176						
18	15	61	63	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	177						
18	15	123/2	127/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	178						
19	16	62	64	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	179						
19	16	63	65	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	180						
19	16	127/2	131/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	181						
19	16	64	66	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	182						
19	16	129/2	133/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	183						
19	16	65	67	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	184						
19	16	131/2	135/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	185						
19	16	62	64	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	186						
19	16	64	66	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	187						
19	16	65	67	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	188						
20	17	66	68	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	189						
20	17	133/2	137/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	190						
20	17	67	69	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	191						
20	17	135/2	139/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	192						
20	17	68	70	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	193						
20	17	137/2	141/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	194						
20	17	69	71	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	195						
20	17	139/2	143/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	196						
20	17	66	68	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	197						
20	17	67	69	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	198						
20	17	68	70	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	199						
20	17	69	71	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	200						
21	18	70	72	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	201						
21	18	72	74	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	202						
21	18	73	75	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	203						
21	18	147/2	151/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	204						
21	18	70	72	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	205						
21	18	141/2	145/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	206						
21	18	71	73	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	207						
21	18	143/2	147/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	208						
21	18	72	74	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	209	ornamentShortTrill					
21	18	73	75	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	210	ornamentMordent					
22	19	74	76	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	211						
22	19	75	77	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	212						
22	19	151/2	155/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	213						
22	19	76	78	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	214						
22	19	77	79	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	215						
22	19	155/2	159/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	216						
22	19	74	76	4.0		0	0	Chord	2/2	2	1	1		1	1	217	ornamentShortTrill					
23	20	78	80	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	218						
23	20	79	81	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	219						
23	20	159/2	163/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	220						
23	20	80	82	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	221						
23	20	81	83	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	222						
23	20	163/2	167/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	223						
23	20	78	80	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	224						
23	20	80	82	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	225	ornamentMordent					
23	20	81	83	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	226	ornamentMordent					
24	21	82	84	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	227						
24	21	83	85	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	228						
24	21	167/2	171/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	229						
24	21	84	86	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	230						
24	21	85	87	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	231						
24	21	171/2	175/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	232						
24	21	82	84	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	233						
24	21	84	86	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	234	ornamentMordent					
24	21	85	87	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	235						
25	22	86	88	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	236						
25	22	87	89	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	237						
25	22	175/2	179/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	238						
25	22	88	90	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	239						
25	22	89	91	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	240						
25	22	179/2	183/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	241						
25	22	86	88	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	242						
25	22	88	90	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	243						
25	22	177/2	181/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	244						
25	22	89	91	0.5		3/4	3/4	Chord	2/2	2	1	1/8		1/8	1	245						
25	22	179/2	183/2	0.5		7/8	7/8	Chord	2/2	2	1	1/8		1/8	1	246						
26	23	90	92	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	247						
26	23	91	93	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	248						
26	23	183/2	187/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	249						
26	23	92	94	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	250						
26	23	185/2	189/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	251						
26	23	93	95	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	252						
26	23	187/2	191/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	253						
26	23	90	92	0.5		0	0	Chord	2/2	2	1	1/8		1/8	1	254						
26	23	181/2	185/2	0.5		1/8	1/8	Chord	2/2	2	1	1/8		1/8	1	255						
26	23	91	93	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	256						
26	23	183/2	187/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	257						
26	23	92	94	0.5		1/2	1/2	Chord	2/2	2	1	1/8		1/8	1	258						
26	23	185/2	189/2	0.5		5/8	5/8	Chord	2/2	2	1	1/8		1/8	1	259						
26	23	93	95	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	260						
27	24	94	96	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	261						
27	24	189/2	193/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	262						
27	24	95	97	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	263						
27	24	191/2	195/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	264						
27	24	96	98	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	265						
27	24	193/2	197/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	266						
27	24	97	99	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	267						
27	24	195/2	199/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	268						
27	24	94	96	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	269						
27	24	95	97	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	270						
27	24	96	98	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	271						
27	24	97	99	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	272						
28	25	98	100	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	273						
28	25	197/2	201/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	274						
28	25	99	101	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	275						
28	25	199/2	203/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	276						
28	25	100	102	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	277						
28	25	201/2	205/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	278						
28	25	101	103	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	279						
28	25	203/2	207/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	280						
28	25	98	100	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	281						
28	25	99	101	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	282						
28	25	100	102	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	283						
28	25	101	103	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	284						
29	26	102	104	1.0		0	0	Chord	2/2	1	1	1/4		1/4	1	285						
29	26	103	105	1.0		1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	286						
29	26	104	106	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	287						
29	26	105	107	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	288						
29	26	211/2	215/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	289						
29	26	102	104	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	290						
29	26	103	105	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	291						
29	26	207/2	211/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	292						
29	26	104	106	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	293						
29	26	105	107	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	294						
30	27	106	108	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	295						
30	27	213/2	217/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	296						
30	27	107	109	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	297						
30	27	215/2	219/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	298						
