mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
7	5	39/2	39/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	51						
7	5	20	20	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	52						
7	5	41/2	41/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	53						
7	5	21	21	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	54						
7	5	43/2	43/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	55						
7	5	18	18	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	56						
7	5	19	19	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	57						
7	5	20	20	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	58						
7	5	21	21	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	59						
7	5	18	18	4.0	0	0	Chord	2/2	2	2	1	1	1	60						
8	6	22	22	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	61						
8	6	23	23	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	62						
8	6	24	24	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	63						
8	6	49/2	49/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	64						
8	6	25	25	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	65						
8	6	51/2	51/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	66						
8	6	22	22	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	67						
8	6	23	23	0.5	1/4	1/4	Chord	2/2	2	1	1/8	1/8	1	68						
8	6	47/2	47/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	1/8	1	69						
8	6	24	24	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	70						
8	6	25	25	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	71						
8	6	22	22	4.0	0	0	Chord	2/2	2	2	1	1	1	72						
9	7	26	26	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	73						
9	7	53/2	53/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	74						
9	7	27	27	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	75						
9	7	55/2	55/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	76						
9	7	28	28	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	77						
9	7	57/2	57/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	78						
9	7	29	29	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	79						
9	7	26	26	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	80						
9	7	27	27	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	81						
9	7	28	28	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	82						
9	7	29	29	0.5	3/4	3/4	Chord	2/2	2	1	1/8	1/8	1	83						
9	7	59/2	59/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	1/8	1	84						
9	7	26	26	4.0	0	0	Chord	2/2	2	2	1	1	1	85						
10	8	30	30	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	86						
10	8	32	32	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	87						
10	8	33	33	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	88						
10	8	67/2	67/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	89						
10	8	30	30	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	90						
10	8	30	30	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	91						
10	8	32	32	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	92						
10	8	33	33	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	93						
10	8	30	30	4.0	0	0	Chord	2/2	2	2	1	1	1	94						
11	9	34	34	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	95						
11	9	35	35	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	96						
11	9	71/2	71/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	97						
11	9	36	36	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	98						
11	9	73/2	73/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	99						
11	9	37	37	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	100						
11	9	75/2	75/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	101						
11	9	34	34	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	102						
11	9	35	35	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	103						
11	9	36	36	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	104						
11	9	37	37	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	105						
11	9	34	34	4.0	0	0	Chord	2/2	2	2	1	1	1	106						
12	10	38	38	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	107						
12	10	77/2	77/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	108						
12	10	39	39	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	109						
12	10	79/2	79/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	110						
12	10	40	40	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	111						
12	10	81/2	81/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	112						
12	10	41	41	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	113						
12	10	83/2	83/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	114						
12	10	38	38	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	115						
12	10	39	39	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	116						
12	10	40	40	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	117						
12	10	41	41	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	118						
12	10	38	38	4.0	0	0	Chord	2/2	2	2	1	1	1	119						
13	11	42	42	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	120						
13	11	85/2	85/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	121						
13	11	43	43	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	122						
13	11	87/2	87/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	123						
13	11	44	44	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	124						
13	11	89/2	89/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	125						
13	11	45	45	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	126						
13	11	91/2	91/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	127						
13	11	42	42	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	128						
13	11	43	43	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	129						
13	11	44	44	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	130						
13	11	45	45	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	131						
13	11	42	42	4.0	0	0	Chord	2/2	2	2	1	1	1	132						
14	12	46	46	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	133						
14	12	48	48	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	134						
14	12	49	49	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	135						
14	12	99/2	99/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	136						
14	12	46	46	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	137						
14	12	47	47	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	138						
14	12	48	48	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	139						
14	12	49	49	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	140						
14	12	46	46	4.0	0	0	Chord	2/2	2	2	1	1	1	141						
15	13	50	50	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	142						
15	13	51	51	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	143						
15	13	103/2	103/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	144						
15	13	52	52	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	145						
15	13	53	53	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	146						
15	13	107/2	107/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	147						
15	13	50	50	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	148						
15	13	51	51	1.0	1/4	1/4	Chord	2/2	2	1	1/4	1/4	1	149						
15	13	52	52	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	150						
15	13	53	53	1.0	3/4	3/4	Chord	2/2	2	1	1/4	1/4	1	151						
15	13	50	50	4.0	0	0	Chord	2/2	2	2	1	1	1	152						
16	14	54	54	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	153						
16	14	55	55	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	154						
16	14	56	56	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	155						
16	14	113/2	113/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	156						
16	14	57	57	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	157						
16	14	115/2	115/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	158						
16	14	54	54	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	159						
16	14	56	56	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	160						
16	14	54	54	4.0	0	0	Chord	2/2	2	2	1	1	1	161						
17	15	58	58	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	162						
17	15	117/2	117/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	163						
17	15	59	59	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	164						
17	15	119/2	119/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	165						
17	15	60	60	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	166						
17	15	121/2	121/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	167						
17	15	61	61	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	168						
17	15	123/2	123/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	169						
17	15	58	58	1.0	0	0	Chord	2/2	2	1	1/4	1/4	1	170						
17	15	60	60	1.0	1/2	1/2	Chord	2/2	2	1	1/4	1/4	1	171						
17	15	58	58	4.0	0	0	Chord	2/2	2	2	1	1	1	172						
18	16	62	62	0.0	0	0	SystemText	2/2	1	1	0				"<i><font size=""13""/>Gavotte I da capo</i>"					
18	16	62	62	2.0	0	0	Chord	2/2	1	1	1/2	1/2	1	173						
18	16	62	62	2.0	0	0	Chord	2/2	1	2	1/2	1/2	1	174						
18	16	62	62	2.0	0	0	Chord	2/2	2	1	1/2	1/2	1	175						
18	16	62	62	2.0	0	0	Chord	2/2	2	2	1/2	1/2	1	176						
