mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	8	47/2	47/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	70								
8	8	21	21	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	71								
8	8	22	22	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	72								
8	8	23	23	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	73								
9	9	24	24	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	74								
9	9	49/2	49/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	75								
9	9	25	25	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	76	ornamentShortTrill							2
9	9	53/2	53/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	77								2
9	9	107/4	107/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	78								
9	9	24	24	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	79								
9	9	25	25	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	80								
9	9	51/2	51/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	81								
9	9	26	26	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	82								
9	9	53/2	53/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	83								
10	10	27	27	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	84								
10	10	55/2	55/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	85								
10	10	28	28	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	86								3
10	10	57/2	57/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	87								
10	10	29	29	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	88								4
10	10	59/2	59/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	89								
10	10	27	27	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	90								
10	10	28	28	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	91								
10	10	29	29	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	92								
11	11	30	30	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	93								5
11	11	61/2	61/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	94								
11	11	31	31	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	95	ornamentShortTrill							6
11	11	65/2	65/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	96								6
11	11	131/4	131/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	97								
11	11	30	30	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	98								7
11	11	61/2	61/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	99								7
11	11	31	31	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	100								7
11	11	63/2	63/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	101								7
11	11	32	32	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	102								7
11	11	65/2	65/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	103								
12	12	33	33	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	104								
12	12	33	33	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	105								
12	12	67/2	67/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	106								
12	12	34	34	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	107								8
12	12	69/2	69/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	108								8
12	12	35	35	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	109								8
12	12	71/2	71/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	110								
13	13	36	36	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	111								
13	13	37	37	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	112								9
13	13	75/2	75/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	113								9
13	13	38	38	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	114								9
13	13	77/2	77/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	115								
13	13	36	36	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	116								
13	13	73/2	73/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	117								
13	13	37	37	2.0		1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	118								
14	14	39	39	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	119								
14	14	40	40	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	120								
14	14	41	41	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	121								
14	14	39	39	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	122								
14	14	79/2	79/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	123								
14	14	40	40	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	124								
14	14	81/2	81/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	125								
14	14	41	41	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	126								
14	14	83/2	83/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	127								
15	15	42	42	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	128								
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	129								
15	15	43	43	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	130	ornamentShortTrill							
15	15	89/2	89/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	131								
15	15	42	42	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	132								
15	15	85/2	85/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	133								
15	15	43	43	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	134								
15	15	44	44	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	135								
16	16		45	3.0	1	0	0	Chord	3/4	1	1	3/4	1/2	3/2	136								
16	16		45	0.5	1	0	0	Chord	3/4	2	1	1/8	1/8	1	137								
16	16		91/2	0.5	1	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	138								
16	16		46	0.5	1	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	139								
16	16		93/2	0.5	1	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	140								
16	16		47	0.5	1	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	141								
16	16		95/2	0.5	1	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	142								
17	1		48	0.5	1	0	0	Chord	3/4	1	1	1/8	1/8	1	143								
17	1		97/2	0.5	1	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	144								
17	1		49	1.5	1	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	145	ornamentShortTrill							
17	1		101/2	0.25	1	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	146								
17	1		203/4	0.25	1	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	147								
17	1		48	1.0	1	0	0	Chord	3/4	2	1	1/4	1/4	1	148								
17	1		49	1.0	1	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	149								
17	1		50	1.0	1	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	150								
18	16	45	51	3.0	2	0	0	Chord	3/4	1	1	3/4	1/2	3/2	151								
18	16	45	51	1.0	2	0	0	Chord	3/4	2	1	1/4	1/4	1	152								
18	16	46	52	1.0	2	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	153								
18	16	47	53	1.0	2	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	154								
19	17	48	54	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	155								
19	17	97/2	109/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	156								
19	17	49	55	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	157	ornamentShortTrill							
19	17	101/2	113/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	158								
19	17	203/4	227/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	159								
19	17	48	54	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	160								
19	17	97/2	109/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	161								
19	17	49	55	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	162								
19	17	99/2	111/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	163								
19	17	50	56	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	164								
19	17	101/2	113/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	165								
20	18	51	57	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	166								
20	18	103/2	115/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	167								
20	18	52	58	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	168								
20	18	105/2	117/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	169								
20	18	53	59	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	170								
20	18	107/2	119/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	171								
20	18	51	57	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	172								
20	18	52	58	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	173								
20	18	53	59	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	174								
21	19	54	60	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	175								
21	19	109/2	121/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	176								
21	19	55	61	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	177	ornamentShortTrill							
21	19	113/2	125/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	178								
21	19	227/4	251/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	179								
21	19	54	60	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	180								
21	19	109/2	121/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	181								
21	19	55	61	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	182								
21	19	111/2	123/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	183								
21	19	56	62	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	184								
21	19	113/2	125/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	185								
22	20	57	63	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	186								
22	20	57	63	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	187								
22	20	58	64	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	188								
22	20	117/2	129/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	189								
22	20	59	65	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	190								
22	20	119/2	131/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	191								
23	21	60	66	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	192								
23	21	121/2	133/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	193								
23	21	61	67	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	194								
23	21	62	68	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	195								
23	21	60	66	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	196								
23	21	121/2	133/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	197								
23	21	61	67	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	198								
23	21	123/2	135/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	199								
23	21	62	68	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	200								
23	21	125/2	137/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	201								
24	22	63	69	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	202								
24	22	127/2	139/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	203								
24	22	64	70	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	204								
24	22	65	71	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	205								
24	22	63	69	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	206								
24	22	127/2	139/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	207								
24	22	64	70	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	208								
24	22	129/2	141/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	209								
24	22	65	71	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	210								
24	22	131/2	143/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	211								
25	23	66	72	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	212								
25	23	133/2	145/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	213								
25	23	67	73	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	214								
25	23	135/2	147/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	215								
25	23	68	74	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	216								
25	23	137/2	149/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	217								
25	23	66	72	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	218								
25	23	67	73	1.0		1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	219								
25	23	68	74	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	220								
26	24	69	75	3.0		0	0	Chord	3/4	1	1	3/4	1/2	3/2	221								
26	24	69	75	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	222								
26	24	139/2	151/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	223								
26	24	70	76	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	224								
26	24	141/2	153/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	225								
26	24	71	77	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	226								
26	24	143/2	155/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	227								
27	25	72	78	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	228								
27	25	73	79	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	229								
27	25	147/2	159/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	230								
27	25	74	80	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	231								
27	25	149/2	161/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	232								
27	25	72	78	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	233								
27	25	145/2	157/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	234								
27	25	73	79	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	235								
27	25	147/2	159/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	236								
27	25	74	80	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	237								
28	26	75	81	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	238								
28	26	151/2	163/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	239								
28	26	76	82	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	240								
28	26	153/2	165/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	241								
28	26	77	83	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	242								
28	26	75	81	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	243								
28	26	76	82	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	244								
28	26	153/2	165/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	245								
28	26	77	83	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	246								
28	26	155/2	167/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	247								
29	27	78	84	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	248								
29	27	79	85	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	249								
29	27	159/2	171/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	250								
29	27	80	86	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	251								
29	27	161/2	173/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	252								
29	27	78	84	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	253								
29	27	157/2	169/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	254								
29	27	79	85	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	255								
29	27	159/2	171/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	256								
29	27	80	86	1.0		1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	257								
30	28	81	87	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	258								
30	28	163/2	175/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	259								
30	28	82	88	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	260								
30	28	165/2	177/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	261								
30	28	83	89	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	262								
30	28	167/2	179/2	0.5		5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	263								
30	28	81	87	1.0		0	0	Chord	3/4	2	1	1/4	1/4	1	264								
30	28	82	88	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	265								
30	28	165/2	177/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	266								
30	28	83	89	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	267								
30	28	167/2	179/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	268								
31	29	84	90	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	269								
31	29	169/2	181/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	270								
31	29	85	91	1.5		1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	271	ornamentShortTrill							10
31	29	173/2	185/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	272								10
31	29	347/4	371/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	273								
31	29	84	90	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	274								
31	29	169/2	181/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	275								
31	29	85	91	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	276								
31	29	171/2	183/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	277								
31	29	86	92	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	278								
31	29	173/2	185/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	279								
32	30	87	93	0.5		0	0	Chord	3/4	1	1	1/8	1/8	1	280								
32	30	175/2	187/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	281								
32	30	88	94	1.0		1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	282								
32	30	89	95	1.0		1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	283								
32	30	87	93	0.5		0	0	Chord	3/4	2	1	1/8	1/8	1	284								
32	30	175/2	187/2	0.5		1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	285								
32	30	88	94	0.5		1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	286								
32	30	177/2	189/2	0.5		3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	287								
32	30	89	95	0.5		1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	288								
32	30	179/2	191/2	0.5		5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	289								
33	31	90	96	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	290								
33	31	91	97	0.25		1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	291								11
33	31	365/4	389/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	292								11
33	31	183/2	195/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	293								
33	31	92	98	0.5		1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	294								
