quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
33/2	1.5	6	6	3/8	3/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
18	0.5	7	7	0	0	6/8	2	1	#viio}{		e	i		#viio	#vii	o						}{	o	1	1	5, 2, -1		5	5
37/2	1.0	7	7	1/8	1/8	6/8	2	1	V7		e	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
39/2	0.5	7	7	3/8	3/8	6/8	2	1	i		e	i		i	i								m	1	1	0, -3, 1		0	0
20	1.0	7	7	1/2	1/2	6/8	2	1	iv7		e	i		iv7	iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
21	0.5	8	8	0	0	6/8	2	1	#viio		e	i		#viio	#vii	o							o	1	1	5, 2, -1		5	5
43/2	1.0	8	8	1/8	1/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
45/2	1.5	8	8	3/8	3/8	6/8	2	1	V7		e	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
24	1.0	9	9	0	0	6/8	2	1	i6}{		e	i		i6	i		6					}{	m	1	1	-3, 1, 0		0	-3
25	0.5	9	9	1/4	1/4	6/8	2	1	i		e	i		i	i								m	1	1	0, -3, 1		0	0
51/2	1.5	9	9	3/8	3/8	6/8	2	1	IV		e	i		IV	IV								M	1	1	-1, 3, 0		-1	-1
27	1.0	10	10	0	0	6/8	2	1	VII6		e	i		VII6	VII		6						M	1	1	2, -1, -2		-2	2
28	0.5	10	10	1/4	1/4	6/8	2	1	VII		e	i		VII	VII								M	1	1	-2, 2, -1		-2	-2
57/2	1.5	10	10	3/8	3/8	6/8	2	1	III		e	i		III	III								M	1	1	-3, 1, -2		-3	-3
30	1.0	11	11	0	0	6/8	2	1	iio6/v		e	i		iio6/v	ii	o	6		v				o	1	1	0, -3, 3		3	0
31	0.5	11	11	1/4	1/4	6/8	2	1	iio/v		e	i		iio/v	ii	o			v				o	1	1	3, 0, -3		3	3
63/2	1.5	11	11	3/8	3/8	6/8	2	1	V/v		e	i		V/v	V				v				M	1	1	2, 6, 3		2	2
33	1.0	12	12	0	0	6/8	2	1	v6}{		e	i		v6	v		6					}{	m	1	1	-2, 2, 1		1	-2
34	0.5	12	12	1/4	1/4	6/8	2	1	v		e	i		v	v								m	1	1	1, -2, 2		1	1
69/2	1.5	12	12	3/8	3/8	6/8	2	1	iv/v		e	i		iv/v	iv				v				m	1	1	0, -3, 1		0	0
36	1.5	13	13	0	0	6/8	2	1	#viio6/v		e	i		#viio6/v	#vii	o	6		v				o	1	1	3, 0, 6		6	3
75/2	1.5	13	13	3/8	3/8	6/8	2	1	V65/v		e	i		V65/v	V		65		v				Mm7	1	1	6, 3, 0, 2		2	6
39	1.5	14	14	0	0	6/8	2	1	v[i6/v}{		e	i	v	i6/v	i		6		v			}{	m	1	1	-2, 2, 1		1	-2
81/2	1.5	14	14	3/8	3/8	6/8	2	1	#viio43/v		e	i		#viio43/v	#vii	o	43		v				o7	1	1	0, -3, 6, 3		6	0
42	1.5	15	15	0	0	6/8	2	1	i64/v		e	i		i64/v	i		64		v				m	1	1	2, 1, -2		1	2
87/2	1.5	15	15	3/8	3/8	6/8	2	1	iio64/v		e	i		iio64/v	ii	o	64		v				o	1	1	-3, 3, 0		3	-3
45	1.5	16	16	0	0	6/8	2	1	#viio7/v		e	i		#viio7/v	#vii	o	7		v				o7	1	1	6, 3, 0, -3		6	6
93/2	1.5	16	16	3/8	3/8	6/8	2	1	i/v]}{		e	i		i/v	i				v	]		}{	m	1	1	1, -2, 2		1	1
48	1.5	17	17	0	0	6/8	2	1	V7/iv		e	i		V7/iv	V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
99/2	1.5	17	17	3/8	3/8	6/8	2	1	iv		e	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
51	1.5	18	18	0	0	6/8	2	1	V7/III		e	i		V7/III	V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
105/2	1.5	18	18	3/8	3/8	6/8	2	1	III		e	i		III	III								M	1	1	-3, 1, -2		-3	-3
54	1.5	19	19	0	0	6/8	2	1	VIM7		e	i		VIM7	VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
111/2	1.5	19	19	3/8	3/8	6/8	2	1	ii		e	i		ii	ii								m	1	1	2, -1, 3		2	2
57	0.5	20	20	0	0	6/8	2	1	V7}{		e	i		V7	V		7					}{	Mm7	1	1	1, 5, 2, -1		1	1
115/2	1.0	20	20	1/8	1/8	6/8	2	1	V2		e	i		V2	V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
117/2	0.5	20	20	3/8	3/8	6/8	2	1	i6		e	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
59	1.0	20	20	1/2	1/2	6/8	2	1	iv2		e	i		iv2	iv		2						mm7	1	1	-3, -1, -4, 0		-1	-3
60	0.5	21	21	0	0	6/8	2	1	#viio6		e	i		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
121/2	1.0	21	21	1/8	1/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
123/2	1.5	21	21	3/8	3/8	6/8	2	1	V65		e	i		V65	V		65						Mm7	1	1	5, 2, -1, 1		1	5
63	1.5	22	22	0	0	6/8	2	1	i}{		e	i		i	i							}{	m	1	1	0, -3, 1		0	0
129/2	1.0	22	22	3/8	3/8	6/8	2	1	iv6		e	i		iv6	iv		6						m	1	1	-4, 0, -1		-1	-4
131/2	0.5	22	22	5/8	5/8	6/8	2	1	iv		e	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
66	1.5	23	23	0	0	6/8	2	1	VII		e	i		VII	VII								M	1	1	-2, 2, -1		-2	-2
135/2	1.0	23	23	3/8	3/8	6/8	2	1	III6		e	i		III6	III		6						M	1	1	1, -2, -3		-3	1
137/2	0.5	23	23	5/8	5/8	6/8	2	1	III		e	i		III	III								M	1	1	-3, 1, -2		-3	-3
69	0.5	24	24	0	0	6/8	2	1	VI		e	i		VI	VI								M	1	1	-4, 0, -3		-4	-4
139/2	1.0	24	24	1/8	1/8	6/8	2	1	VI		e	i		VI	VI								M	1	1	-4, 0, -3		-4	-4
141/2	1.0	24	24	3/8	3/8	6/8	2	1	iio6		e	i		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
143/2	0.5	24	24	5/8	5/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
72	0.5	25	25	0	0	6/8	2	1	V}{		e	i		V	V							}{	M	1	1	1, 5, 2		1	1
145/2	1.0	25	25	1/8	1/8	6/8	2	1	V2		e	i		V2	V		2						Mm7	1	1	-1, 1, 5, 2		1	-1
147/2	0.5	25	25	3/8	3/8	6/8	2	1	i6		e	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
74	1.0	25	25	1/2	1/2	6/8	2	1	iv2		e	i		iv2	iv		2						mm7	1	1	-3, -1, -4, 0		-1	-3
75	0.5	26	26	0	0	6/8	2	1	#viio6		e	i		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
151/2	1.0	26	26	1/8	1/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
153/2	1.5	26	26	3/8	3/8	6/8	2	1	V65		e	i		V65	V		65						Mm7	1	1	5, 2, -1, 1		1	5
78	1.5	27	27	0	0	6/8	2	1	i[i6}{		e	i	i	i6	i		6					}{	m	1	1	-3, 1, 0		0	-3
159/2	1.5	27	27	3/8	3/8	6/8	2	1	#viio43		e	i		#viio43	#vii	o	43						o7	1	1	-1, -4, 5, 2		5	-1
81	1.5	28	28	0	0	6/8	2	1	i64		e	i		i64	i		64						m	1	1	1, 0, -3		0	1
165/2	1.5	28	28	3/8	3/8	6/8	2	1	ii%43		e	i		ii%43	ii	%	43						%7	1	1	-4, 0, 2, -1		2	-4
84	1.5	29	29	0	0	6/8	2	1	#viio7		e	i		#viio7	#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
171/2	1.5	29	29	3/8	3/8	6/8	2	1	i]}{		e	i		i	i					]		}{	m	1	1	0, -3, 1		0	0
87	1.5	30	30	0	0	6/8	2	1	iv7		e	i		iv7	iv		7						mm7	1	1	-1, -4, 0, -3		-1	-1
177/2	1.5	30	30	3/8	3/8	6/8	2	1	V7/III		e	i		V7/III	V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
90	1.5	31	31	0	0	6/8	2	1	V7/VI		e	i		V7/VI	V		7		VI				Mm7	1	1	-3, 1, -2, -5		-3	-3
183/2	1.5	31	31	3/8	3/8	6/8	2	1	VIM7		e	i		VIM7	VI	M	7						MM7	1	1	-4, 0, -3, 1		-4	-4
93	1.5	32	32	0	0	6/8	2	1	ii%7		e	i		ii%7	ii	%	7						%7	1	1	2, -1, -4, 0		2	2
189/2	1.5	32	32	3/8	3/8	6/8	2	1	V[V7}{		e	i	V	V7	V		7					}{	Mm7	1	1	1, 5, 2, -1		1	1
96	1.5	33	33	0	0	6/8	2	1	i		e	i		i	i								m	1	1	0, -3, 1		0	0
195/2	0.5	33	33	3/8	3/8	6/8	2	1	viio7/V		e	i		viio7/V	vii	o	7		V				o7	1	1	6, 3, 0, -3		6	6
98	1.0	33	33	1/2	1/2	6/8	2	1	V65/V		e	i		V65/V	V		65		V				Mm7	1	1	6, 3, 0, 2		2	6
99	1.5	34	34	0	0	6/8	2	1	V7		e	i		V7	V		7						Mm7	1	1	1, 5, 2, -1		1	1
201/2	0.5	34	34	3/8	3/8	6/8	2	1	V(6)		e	i		V(6)	V			6					M	1	1	1, 5, -3		1	1
101	1.0	34	34	1/2	1/2	6/8	2	1	V(64)		e	i		V(64)	V			64					M	1	1	1, 0, -3		1	1
102	4.5	35	35	0	0	6/8	2	1	viio65/V		e	i		viio65/V	vii	o	65		V				o7	1	1	3, 0, -3, 6		6	3
213/2	0.5	36	36	3/8	3/8	6/8	2	1	i		e	i		i	i								m	1	1	0, -3, 1		0	0
107	1.0	36	36	1/2	1/2	6/8	2	1	iio6		e	i		iio6	ii	o	6						o	1	1	-1, -4, 2		2	-1
108	0.5	37	37	0	0	6/8	2	1	#viio7		e	i		#viio7	#vii	o	7						o7	1	1	5, 2, -1, -4		5	5
217/2	1.0	37	37	1/8	1/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
219/2	0.5	37	37	3/8	3/8	6/8	2	1	V7(9)		e	i		V7(9)	V		7	9					Mm7	1	1	1, 5, 2, -1	-4	1	1
110	1.0	37	37	1/2	1/2	6/8	2	1	V(+9)	V43(9)	e	i		V(+9)	V			+9					M	1	1	1, 5, 2	-4	1	1
111	0.5	38	38	0	0	6/8	2	1	i6		e	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
223/2	1.0	38	38	1/8	1/8	6/8	2	1	V65/iv		e	i		V65/iv	V		65		iv				Mm7	1	1	4, 1, -2, 0		0	4
225/2	0.5	38	38	3/8	3/8	6/8	2	1	iv		e	i		iv	iv								m	1	1	-1, -4, 0		-1	-1
113	1.0	38	38	1/2	1/2	6/8	2	1	iio64		e	i		iio64	ii	o	64						o	1	1	-4, 2, -1		2	-4
114	1.0	39	39	0	0	6/8	2	1	V		e	i		V	V								M	1	1	1, 5, 2		1	1
115	0.5	39	39	1/4	1/4	6/8	2	1	i6		e	i		i6	i		6						m	1	1	-3, 1, 0		0	-3
231/2	0.25	39	39	3/8	3/8	6/8	2	1	i		e	i		i	i								m	1	1	0, -3, 1		0	0
463/4	0.25	39	39	7/16	7/16	6/8	2	1	ii%65		e	i		ii%65	ii	%	65						%7	1	1	-1, -4, 0, 2		2	-1
116	1.0	39	39	1/2	1/2	6/8	2	1	V		e	i		V	V								M	1	1	1, 5, 2		1	1
117	2.5	40	40	0	0	6/8	2	1	i|PAC}{		e	i		i	i						PAC	}{	m	1	1	0, -3, 1		0	0
239/2	0.5	40	40	5/8	5/8	6/8	2	1	iio		e	i		iio	ii	o							o	1	1	2, -1, -4		2	2
120	2.5	41	41	0	0	6/8	2	1	#viio7/iv		e	i		#viio7/iv	#vii	o	7		iv				o7	1	1	4, 1, -2, -5		4	4
245/2	0.5	41	41	5/8	5/8	6/8	2	1	V7/iv		e	i		V7/iv	V		7		iv				Mm7	1	1	0, 4, 1, -2		0	0
123	2.5	42	42	0	0	6/8	2	1	i/iv		e	i		i/iv	i				iv				m	1	1	-1, -4, 0		-1	-1
251/2	0.5	42	42	5/8	5/8	6/8	2	1	V/iv		e	i		V/iv	V				iv				M	1	1	0, 4, 1		0	0
126	0.5	43	43	0	0	6/8	2	1	V2/VII		e	i		V2/VII	V		2		VII				Mm7	1	1	-3, -1, 3, 0		-1	-3
253/2	1.5	43	43	1/8	1/8	6/8	2	1	iio6/VII		e	i		iio6/VII	ii	o	6		VII				o	1	1	-3, -6, 0		0	-3
128	0.5	43	43	1/2	1/2	6/8	2	1	viio43/VII		e	i		viio43/VII	vii	o	43		VII				o7	1	1	-3, -6, 3, 0		3	-3
257/2	0.5	43	43	5/8	5/8	6/8	2	1	V43/VII		e	i		V43/VII	V		43		VII				Mm7	1	1	0, -3, -1, 3		-1	0
129	0.5	44	44	0	0	6/8	2	1	I6/VII		e	i		I6/VII	I		6		VII				M	1	1	2, -1, -2		-2	2
259/2	2.0	44	44	1/8	1/8	6/8	2	1	VII		e	i		VII	VII								M	1	1	-2, 2, -1		-2	-2
263/2	0.5	44	44	5/8	5/8	6/8	2	1	ii/VII		e	i		ii/VII	ii				VII				m	1	1	0, -3, 1		0	0
132	0.5	45	45	0	0	6/8	2	1	viio/III		e	i		viio/III	vii	o			III				o	1	1	2, -1, -4		2	2
265/2	1.5	45	45	1/8	1/8	6/8	2	1	iio6/III		e	i		iio6/III	ii	o	6		III				o	1	1	-4, -7, -1		-1	-4
134	0.5	45	45	1/2	1/2	6/8	2	1	viio7/III		e	i		viio7/III	vii	o	7		III				o7	1	1	2, -1, -4, -7		2	2
269/2	0.5	45	45	5/8	5/8	6/8	2	1	V7/III		e	i		V7/III	V		7		III				Mm7	1	1	-2, 2, -1, -4		-2	-2
135	2.5	46	46	0	0	6/8	2	1	I/III		e	i		I/III	I				III				M	1	1	-3, 1, -2		-3	-3
275/2	0.5	46	46	5/8	5/8	6/8	2	1	V/III		e	i		V/III	V				III				M	1	1	-2, 2, -1		-2	-2
138	0.5	47	47	0	0	6/8	2	1	V2/VI		e	i		V2/VI	V		2		VI				Mm7	1	1	-5, -3, 1, -2		-3	-5
277/2	1.5	47	47	1/8	1/8	6/8	2	1	iio6/VI		e	i		iio6/VI	ii	o	6		VI				o	1	1	-5, -8, -2		-2	-5
140	0.5	47	47	1/2	1/2	6/8	2	1	viio43/VI		e	i		viio43/VI	vii	o	43		VI				o7	1	1	-5, -8, 1, -2		1	-5
281/2	0.5	47	47	5/8	5/8	6/8	2	1	V43/VI		e	i		V43/VI	V		43		VI				Mm7	1	1	-2, -5, -3, 1		-3	-2
141	3.0	48	48	0	0	6/8	2	1	VI6}{		e	i		VI6	VI		6					}{	M	1	1	0, -3, -4		-4	0
144	3.0	49	49	0	0	6/8	2	1	viio2/III		e	i		viio2/III	vii	o	2		III				o7	1	1	-7, 2, -1, -4		2	-7
147	3.0	50	50	0	0	6/8	2	1	I64/III		e	i		I64/III	I		64		III				M	1	1	-2, -3, 1		-3	-2
150	2.0	51	51	0	0	6/8	2	1	viio7/V/III		e	i		viio7/V/III	vii	o	7		V/III				o7	1	1	3, 0, -3, -6		3	3
152	0.5	51	51	1/2	1/2	6/8	2	1	V6/V/III		e	i		V6/V/III	V		6		V/III				M	1	1	3, 0, -1		-1	3
305/2	0.5	51	51	5/8	5/8	6/8	2	1	V7/V/III		e	i		V7/V/III	V		7		V/III				Mm7	1	1	-1, 3, 0, -3		-1	-1
153	1.5	52	52	0	0	6/8	2	1	III.V}{		e	III		V	V							}{	M	1	0	1, 5, 2		1	1
309/2	0.5	52	52	3/8	3/8	6/8	2	1	I6		e	III		I6	I		6						M	1	0	4, 1, 0		0	4
155	1.0	52	52	1/2	1/2	6/8	2	1	IVM2		e	III		IVM2	IV	M	2						MM7	1	0	4, -1, 3, 0		-1	4
156	1.5	53	53	0	0	6/8	2	1	viio6		e	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
315/2	1.5	53	53	3/8	3/8	6/8	2	1	V65		e	III		V65	V		65						Mm7	1	0	5, 2, -1, 1		1	5
159	1.0	54	54	0	0	6/8	2	1	I		e	III		I	I								M	1	0	0, 4, 1		0	0
160	0.5	54	54	1/4	1/4	6/8	2	1	V2/V		e	III		V2/V	V		2		V				Mm7	1	0	0, 2, 6, 3		2	0
321/2	0.5	54	54	3/8	3/8	6/8	2	1	V		e	III		V	V								M	1	0	1, 5, 2		1	1
161	1.0	54	54	1/2	1/2	6/8	2	1	IVM7/V		e	III		IVM7/V	IV	M	7		V				MM7	1	0	0, 4, 1, 5		0	0
162	0.5	55	55	0	0	6/8	2	1	V6/V		e	III		V6/V	V		6		V				M	1	0	6, 3, 2		2	6
325/2	1.0	55	55	1/8	1/8	6/8	2	1	V64/V		e	III		V64/V	V		64		V				M	1	0	3, 2, 6		2	3
327/2	1.5	55	55	3/8	3/8	6/8	2	1	V7/V		e	III		V7/V	V		7		V				Mm7	1	0	2, 6, 3, 0		2	2
165	0.5	56	56	0	0	6/8	2	1	V6}{		e	III		V6	V		6					}{	M	1	0	5, 2, 1		1	5
331/2	1.0	56	56	1/8	1/8	6/8	2	1	V7		e	III		V7	V		7						Mm7	1	0	1, 5, 2, -1		1	1
333/2	2.0	56	56	3/8	3/8	6/8	2	1	I		e	III		I	I								M	1	0	0, 4, 1		0	0
337/2	2.5	57	57	1/8	1/8	6/8	2	1	V43/VI		e	III		V43/VI	V		43		VI				Mm7	1	0	5, 2, 4, 8		4	5
171	0.5	58	58	0	0	6/8	2	1	VI6		e	III		VI6	VI		6						M	1	0	7, 4, 3		3	7
343/2	1.0	58	58	1/8	1/8	6/8	2	1	iio/V		e	III		iio/V	ii	o			V				o	1	0	3, 0, -3		3	3
345/2	1.5	58	58	3/8	3/8	6/8	2	1	viio7/V		e	III		viio7/V	vii	o	7		V				o7	1	0	6, 3, 0, -3		6	6
174	1.0	59	59	0	0	6/8	2	1	V		e	III		V	V								M	1	0	1, 5, 2		1	1
175	2.0	59	59	1/4	1/4	6/8	2	1	V2		e	III		V2	V		2						Mm7	1	0	-1, 1, 5, 2		1	-1
177	1.5	60	60	0	0	6/8	2	1	I6}{		e	III		I6	I		6					}{	M	1	0	4, 1, 0		0	4
357/2	1.5	60	60	3/8	3/8	6/8	2	1	ii65		e	III		ii65	ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
180	1.5	61	61	0	0	6/8	2	1	V43/IV		e	III		V43/IV	V		43		IV				Mm7	1	0	1, -2, 0, 4		0	1
363/2	1.5	61	61	3/8	3/8	6/8	2	1	IV6		e	III		IV6	IV		6						M	1	0	3, 0, -1		-1	3
183	1.5	62	62	0	0	6/8	2	1	vii%7		e	III		vii%7	vii	%	7						%7	1	0	5, 2, -1, 3		5	5
369/2	1.0	62	62	3/8	3/8	6/8	2	1	I6		e	III		I6	I		6						M	1	0	4, 1, 0		0	4
371/2	0.5	62	62	5/8	5/8	6/8	2	1	I		e	III		I	I								M	1	0	0, 4, 1		0	0
186	1.5	63	63	0	0	6/8	2	1	IVM65		e	III		IVM65	IV	M	65						MM7	1	0	3, 0, 4, -1		-1	3
375/2	1.0	63	63	3/8	3/8	6/8	2	1	viio6		e	III		viio6	vii	o	6						o	1	0	2, -1, 5		5	2
377/2	0.5	63	63	5/8	5/8	6/8	2	1	viio		e	III		viio	vii	o							o	1	0	5, 2, -1		5	5
189	1.5	64	64	0	0	6/8	2	1	iii65		e	III		iii65	iii		65						mm7	1	0	1, 5, 2, 4		4	1
381/2	1.0	64	64	3/8	3/8	6/8	2	1	vi6		e	III		vi6	vi		6						m	1	0	0, 4, 3		3	0
383/2	0.5	64	64	5/8	5/8	6/8	2	1	vi		e	III		vi	vi								m	1	0	3, 0, 4		3	3
192	1.5	65	65	0	0	6/8	2	1	ii65		e	III		ii65	ii		65						mm7	1	0	-1, 3, 0, 2		2	-1
387/2	1.0	65	65	3/8	3/8	6/8	2	1	V6		e	III		V6	V		6						M	1	0	5, 2, 1		1	5
389/2	0.5	65	65	5/8	5/8	6/8	2	1	V		e	III		V	V								M	1	0	1, 5, 2		1	1
195	0.5	66	66	0	0	6/8	2	1	I6}{		e	III		I6	I		6					}{	M	1	0	4, 1, 0		0	4
391/2	1.0	66	66	1/8	1/8	6/8	2	1	V		e	III		V	V								M	1	0	1, 5, 2		1	1
393/2	0.5	66	66	3/8	3/8	6/8	2	1	I		e	III		I	I								M	1	0	0, 4, 1		0	0
197	1.0	66	66	1/2	1/2	6/8	2	1	IVM7		e	III		IVM7	IV	M	7						MM7	1	0	-1, 3, 0, 4		-1	-1
198	0.5	67	67	0	0	6/8	2	1	vii%7		e	III		vii%7	vii	%	7						%7	1	0	5, 2, -1, 3		5	5
397/2	1.0	67	67	1/8	1/8	6/8	2	1	iii		e	III		iii	iii								m	1	0	4, 1, 5		4	4
399/2	0.5	67	67	3/8	3/8	6/8	2	1	vi7		e	III		vi7	vi		7						mm7	1	0	3, 0, 4, 1		3	3
200	1.0	67	67	1/2	1/2	6/8	2	1	ii7		e	III		ii7	ii		7						mm7	1	0	2, -1, 3, 0		2	2
201	0.5	68	68	0	0	6/8	2	1	V7		e	III		V7	V		7						Mm7	1	0	1, 5, 2, -1		1	1
403/2	0.75	68	68	1/8	1/8	6/8	2	1	V7		e	III		V7	V		7						Mm7	1	0	1, 5, 2, -1		1	1
809/4	0.25	68	68	5/16	5/16	6/8	2	1	V7/IV		e	III		V7/IV	V		7		IV				Mm7	1	0	0, 4, 1, -2		0	0
405/2	0.5	68	68	3/8	3/8	6/8	2	1	IVM7		e	III		IVM7	IV	M	7						MM7	1	0	-1, 3, 0, 4		-1	-1
203	1.0	68	68	1/2	1/2	6/8	2	1	vii%7		e	III		vii%7	vii	%	7						%7	1	0	5, 2, -1, 3		5	5
204	0.5	69	69	0	0	6/8	2	1	iii7		e	III		iii7	iii		7						mm7	1	0	4, 1, 5, 2		4	4
409/2	1.0	69	69	1/8	1/8	6/8	2	1	vi7		e	III		vi7	vi		7						mm7	1	0	3, 0, 4, 1		3	3
411/2	0.5	69	69	3/8	3/8	6/8	2	1	ii7		e	III		ii7	ii		7						mm7	1	0	2, -1, 3, 0		2	2
206	1.0	69	69	1/2	1/2	6/8	2	1	V7		e	III		V7	V		7						Mm7	1	0	1, 5, 2, -1		1	1
207	0.5	70	70	0	0	6/8	2	1	III(4)		e	III		III(4)	III			4					M	1	0	4, 3, 5		4	4
415/2	0.5	70	70	1/8	1/8	6/8	2	1	III		e	III		III	III								M	1	0	4, 8, 5		4	4
208	1.0	70	70	1/4	1/4	6/8	2	1	III6		e	III		III6	III		6						M	1	0	8, 5, 4		4	8
209	1.0	70	70	1/2	1/2	6/8	2	1	V		e	III		V	V								M	1	0	1, 5, 2		1	1
210	1.0	71	71	0	0	6/8	2	1	I|IAC}{		e	III		I	I						IAC	}{	M	1	0	0, 4, 1		0	0
211	0.5	71	71	1/4	1/4	6/8	2	1	iv6/iii		e	III		iv6/iii	iv		6		iii				m	1	0	0, 4, 3		3	0
423/2	0.5	71	71	3/8	3/8	6/8	2	1	ii%65/iii		e	III		ii%65/iii	ii	%	65		iii				%7	1	0	3, 0, 4, 6		6	3
212	1.0	71	71	1/2	1/2	6/8	2	1	V/iii		e	III		V/iii	V				iii				M	1	0	5, 9, 6		5	5
213	1.0	72	72	0	0	6/8	2	1	i/iii		e	III		i/iii	i				iii				m	1	0	4, 1, 5		4	4
214	0.5	72	72	1/4	1/4	6/8	2	1	IV6/V		e	III		IV6/V	IV		6		V				M	1	0	4, 1, 0		0	4
429/2	0.5	72	72	3/8	3/8	6/8	2	1	ii65/V		e	III		ii65/V	ii		65		V				mm7	1	0	0, 4, 1, 3		3	0
215	1.0	72	72	1/2	1/2	6/8	2	1	V/V		e	III		V/V	V				V				M	1	0	2, 6, 3		2	2
216	0.5	73	73	0	0	6/8	2	1	I(#7)/V		e	III		I(#7)/V	I			#7	V				M	1	0	1, 5, 2	13	1	1
433/2	0.5	73	73	1/8	1/8	6/8	2	1	I/V		e	III		I/V	I				V				M	1	0	1, 5, 2		1	1
217	0.5	73	73	1/4	1/4	6/8	2	1	iii6		e	III		iii6	iii		6						m	1	0	1, 5, 4		4	1
435/2	1.0	73	73	3/8	3/8	6/8	2	1	ii%43/iii		e	III		ii%43/iii	ii	%	43		iii				%7	1	0	0, 4, 6, 3		6	0
437/2	0.5	73	73	5/8	5/8	6/8	2	1	ii%7/iii		e	III		ii%7/iii	ii	%	7		iii				%7	1	0	6, 3, 0, 4		6	6
219	1.5	74	74	0	0	6/8	2	1	v.V[#viio}{		e	v	V	#viio	#vii	o						}{	o	1	1	5, 2, -1		5	5
441/2	1.5	74	74	3/8	3/8	6/8	2	1	i		e	v		i	i								m	1	1	0, -3, 1		0	0
222	1.5	75	75	0	0	6/8	2	1	#viio6		e	v		#viio6	#vii	o	6						o	1	1	2, -1, 5		5	2
447/2	1.5	75	75	3/8	3/8	6/8	2	1	i6		e	v		i6	i		6						m	1	1	-3, 1, 0		0	-3
225	3.0	76	76	0	0	6/8	2	1	viio43/V		e	v		viio43/V	vii	o	43		V				o7	1	1	0, -3, 6, 3		6	0
228	1.5	77	77	0	0	6/8	2	1	i7		e	v		i7	i		7						mm7	1	1	0, -3, 1, -2		0	0
