quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
38	1.0	13	13	1/2	1/2	3/4	2	1	V7/III		b	i	VII	V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
39	1.0	14	14	0	0	3/4	2	1	V7(9)/III]		b	i	VII	V7(9)/III	V		7	9	III			Mm7	1	1	-2, 2, -1, -4	0	-2	-2
40	1.0	14	14	1/4	1/4	3/4	2	1	vi7/III		b	i		vi7/III	vi		7		III			mm7	1	1	0, -3, 1, -2		0	0
41	1.0	14	14	1/2	1/2	3/4	2	1	viio/III		b	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
42	1.0	15	15	0	0	3/4	2	1	III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
43	1.0	15	15	1/4	1/4	3/4	2	1	IV/III		b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
44	1.0	15	15	1/2	1/2	3/4	2	1	V/III		b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
45	1.0	16	16	0	0	3/4	2	1	III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
46	1.0	16	16	1/4	1/4	3/4	2	1	III64		b	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
47	1.5	16	16	1/2	1/2	3/4	2	1	III\\		b	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
97/2	0.5	17	17	1/8	1/8	3/4	2	1	viio6/III		b	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
49	1.0	17	17	1/4	1/4	3/4	2	1	III6		b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
50	1.0	17	17	1/2	1/2	3/4	2	1	ii6/III	viio64/III	b	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
51	1.0	18	18	0	0	3/4	2	1	V/III		b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
52	1.0	18	18	1/4	1/4	3/4	2	1	i		b	i		i	i							m	1	1	0, -3, 1		0	0
53	1.0	18	18	1/2	1/2	3/4	2	1	#viio7		b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
54	1.0	19	19	0	0	3/4	2	1	i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
55	0.5	19	19	1/4	1/4	3/4	2	1	iio64		b	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
111/2	0.5	19	19	3/8	3/8	3/4	2	1	VI		b	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
56	0.5	19	19	1/2	1/2	3/4	2	1	#viio64		b	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
113/2	0.5	19	19	5/8	5/8	3/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
57	1.0	20	20	0	0	3/4	2	1	V[V		b	i	V	V	V							M	1	1	1, 5, 2		1	1
58	1.0	20	20	1/4	1/4	3/4	2	1	iio6/V		b	i	V	iio6/V	ii	o	6		V			o	1	1	0, -3, 3		3	0
59	1.5	20	20	1/2	1/2	3/4	2	1	V		b	i	V	V	V							M	1	1	1, 5, 2		1	1
121/2	0.5	21	21	1/8	1/8	3/4	2	1	i		b	i	V	i	i							m	1	1	0, -3, 1		0	0
61	1.0	21	21	1/4	1/4	3/4	2	1	V7		b	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
62	1.0	21	21	1/2	1/2	3/4	2	1	i		b	i	V	i	i							m	1	1	0, -3, 1		0	0
63	1.0	22	22	0	0	3/4	2	1	iv]		b	i	V	iv	iv							m	1	1	-1, -4, 0		-1	-1
64	1.0	22	22	1/4	1/4	3/4	2	1	#vi%7		b	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
65	1.0	22	22	1/2	1/2	3/4	2	1	#viio		b	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
66	1.0	23	23	0	0	3/4	2	1	i		b	i		i	i							m	1	1	0, -3, 1		0	0
67	1.0	23	23	1/4	1/4	3/4	2	1	iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
68	1.0	23	23	1/2	1/2	3/4	2	1	V		b	i		V	V							M	1	1	1, 5, 2		1	1
69	3.0	24	24	0	0	3/4	2	1	i\\		b	i		i	i						\\	m	1	1	0, -3, 1		0	0
