mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
21	18	70	3.0	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
21	18	73	1.0	3/4	3/4	2/2	2	1		ii				ii	ii								m	2, -1, 3		2	2
22	19	74	1.0	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2
22	19	75	1.0	1/4	1/4	2/2	2	1		ii64				ii64	ii		64						m	3, 2, -1		2	3
22	19	76	1.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
22	19	77	1.0	3/4	3/4	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8
23	20	78	2.0	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
23	20	80	2.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
24	21	82	2.0	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0
24	21	84	1.0	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
24	21	85	1.0	3/4	3/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
25	22	86	1.0	0	0	2/2	2	1		viio/V				viio/V	vii	o			V				o	6, 3, 0		6	6
25	22	87	1.0	1/4	1/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
25	22	88	1.0	1/2	1/2	2/2	2	1		viio6/V				viio6/V	vii	o	6		V				o	3, 0, 6		6	3
25	22	89	1.0	3/4	3/4	2/2	2	1		viio64/V				viio64/V	vii	o	64		V				o	0, 6, 3		6	0
26	23	90	1.0	0	0	2/2	2	1		vi64/V				vi64/V	vi		64		V				m	5, 4, 1		4	5
26	23	91	1.0	1/4	1/4	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
26	23	92	1.0	1/2	1/2	2/2	2	1		V				V	V								M	1, 5, 2		1	1
26	23	93	1.0	3/4	3/4	2/2	2	1		V2				V2	V		2						Mm7	-1, 1, 5, 2		1	-1
27	24			0	0	2/2	2	1	1	I6}				I6	I		6					}	M	4, 1, 0		0	4
28	24	94	2.0	0	0	2/2	2	1	2	I]}				I	I					]		}	M	0, 4, 1		0	0
