mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
46	44	0	0	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.25	0.0
46	44	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	2	2	0.5	0.125	0.125	0.5
46	44	1/4	1/4	3/8	2	1	i6	e	i		i6	i		6					m	1	1	1, 5, 4		4	1	2	2	0.5	0.125	0.125	0.5
47	45	0	0	3/8	2	1	V43/III	e	i		V43/III	V		43		III			Mm7	1	1	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.25	0.0
47	45	1/8	1/8	3/8	2	1	viio/III	e	i		viio/III	vii	o			III			o	1	1	6, 3, 0		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
47	45	1/4	1/4	3/8	2	1	V/III	e	i		V/III	V				III			M	1	1	2, 6, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
48	46	0	0	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	1	2	0.3333333333333333	0.0625	0.1875	0.25
48	46	1/8	1/8	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
48	46	1/4	1/4	3/8	2	1	VI	e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
49	47	0	0	3/8	2	1	ii%65	e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	4	0.0	0.0	0.25	0.0
49	47	1/8	1/8	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	1	3	0.25	0.0625	0.4375	0.125
50	48	0	0	3/8	2	1	i\\	e	i		i	i						\\	m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.5	0.0
51	48	0	1/4	3/8	2	1	iio/iv	e	i		iio/iv	ii	o			iv			o	1	1	5, 2, -1		5	5	1	3	0.25	0.0625	0.1875	0.25
52	49	1/8	1/8	3/8	2	1	V/iv	e	i		V/iv	V				iv			M	1	1	4, 8, 5		4	4	1	3	0.25	0.0625	0.1875	0.25
52	49	1/4	1/4	3/8	2	1	#viio7/iv	e	i		#viio7/iv	#vii	o	7		iv			o7	1	1	8, 5, 2, -1		8	8	1	2	0.3333333333333333	0.0625	0.1875	0.25
53	50	0	0	3/8	2	1	ii%2/iv	e	i		ii%2/iv	ii	%	2		iv			%7	1	1	3, 5, 2, -1		5	3	0	3	0.0	0.0	0.25	0.0
53	50	1/8	1/8	3/8	2	1	V6/iv	e	i		V6/iv	V		6		iv			M	1	1	8, 5, 4		4	8	0	3	0.0	0.0	0.25	0.0
53	50	1/4	1/4	3/8	2	1	V7/iv	e	i		V7/iv	V		7		iv			Mm7	1	1	4, 8, 5, 2		4	4	0	3	0.0	0.0	0.25	0.0
54	51	0	0	3/8	2	1	iv	e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	3	0.0	0.0	0.25	0.0
54	51	1/8	1/8	3/8	2	1	iv7/iv	e	i		iv7/iv	iv		7		iv			mm7	1	1	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.25	0.0
54	51	1/4	1/4	3/8	2	1	V/iv	e	i		V/iv	V				iv			M	1	1	4, 8, 5		4	4	0	3	0.0	0.0	0.25	0.0
55	52	0	0	3/8	2	1	iv	e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	6	0.0	0.0	0.5	0.0
55	52	1/4	1/4	3/8	2	1	VI64	e	i		VI64	VI		64					M	1	1	1, 0, 4		0	1	0	3	0.0	0.0	0.25	0.0
56	53	0	0	3/8	2	1	iio	e	i		iio	ii	o						o	1	1	6, 3, 0		6	6	0	3	0.0	0.0	0.25	0.0
56	53	1/8	1/8	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	1	3	0.25	0.0625	0.1875	0.25
56	53	1/4	1/4	3/8	2	1	#viio7	e	i		#viio7	#vii	o	7					o7	1	1	9, 6, 3, 0		9	9	1	2	0.3333333333333333	0.0625	0.1875	0.25
57	54	0	0	3/8	2	1	ii%2	e	i		ii%2	ii	%	2					%7	1	1	4, 6, 3, 0		6	4	0	3	0.0	0.0	0.25	0.0
57	54	1/8	1/8	3/8	2	1	V6	e	i		V6	V		6					M	1	1	9, 6, 5		5	9	0	3	0.0	0.0	0.25	0.0
57	54	1/4	1/4	3/8	2	1	V7	e	i		V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	3	0.0	0.0	0.25	0.0
58	55	0	0	3/8	2	1	i	e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
58	55	1/8	1/8	3/8	2	1	VI	e	i		VI	VI							M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
