mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
9	8	3/4	3/4	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	1	7	0.125	0.0625	1.0625	0.05555555555555555
10	9	0	0	4/4	2	1	IM7|IAC}{				A	I		IM7	I	M	7				IAC	}{	MM7	0	0	3, 7, 4, 8		3.0	3.0	2	8	0.2	0.125	1.25	0.09090909090909091
10	9	1/4	1/4	4/4	2	1	vi6				A	I		vi6	vi		6						m	0	0	3, 7, 6		6.0	3.0	2	5	0.2857142857142857	0.125	0.5	0.2
10	9	1/2	1/2	4/4	2	1	V65/V/V				A	I		V65/V/V	V		65		V/V				Mm7	0	0	10, 7, 4, 6		6.0	10.0	0	8	0.0	0.0	1.0625	0.0
10	9	3/4	3/4	4/4	2	1	V7/V/V				A	I		V7/V/V	V		7		V/V				Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	8	0.1111111111111111	0.0625	1.1875	0.05
11	10	0	0	4/4	2	1	V/V				A	I		V/V	V				V				M	0	0	5, 9, 6		5.0	5.0	3	6	0.3333333333333333	0.1875	1.625	0.10344827586206896
11	10	3/8	3/8	4/4	2	1	V64/V				A	I		V64/V	V		64		V				M	0	0	6, 5, 9		5.0	6.0	1	1	0.5	0.0625	0.0625	0.5
11	10	1/2	1/2	4/4	2	1	V7/V				A	I		V7/V	V		7		V				Mm7	0	0	5, 9, 6, 3		5.0	5.0	0	10	0.0	0.0	1.5625	0.0
11	10	3/4	3/4	4/4	2	1	V65				A	I		V65	V		65						Mm7	0	0	8, 5, 2, 4		4.0	8.0	0	7	0.0	0.0	1.125	0.0
12	11	0	0	4/4	2	1	I(9)				A	I		I(9)	I			9					M	0	0	3, 7, 4	5	3.0	3.0	0	5	0.0	0.0	0.75	0.0
12	11	1/8	1/8	4/4	2	1	V6				A	I		V6	V		6						M	0	0	8, 5, 4		4.0	8.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	11	1/4	1/4	4/4	2	1	vi				A	I		vi	vi								m	0	0	6, 3, 7		6.0	6.0	0	3	0.0	0.0	0.25	0.0
12	11	3/8	3/8	4/4	2	1	V				A	I		V	V								M	0	0	4, 8, 5		4.0	4.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
12	11	1/2	1/2	4/4	2	1	V/V				A	I		V/V	V				V				M	0	0	5, 9, 6		5.0	5.0	2	7	0.2222222222222222	0.3125	0.75	0.29411764705882354
12	11	3/4	3/4	4/4	2	1	V.I				A	V		I	I								M	0	0	4, 8, 5		4.0	4.0	0	7	0.0	0.0	0.9375	0.0
13	12	0	0	4/4	2	1	IVM7				A	V		IVM7	IV	M	7						MM7	0	0	3, 7, 4, 8		3.0	3.0	2	8	0.2	0.125	1.125	0.1
13	12	1/4	1/4	4/4	2	1	ii6				A	V		ii6	ii		6						m	0	0	3, 7, 6		6.0	3.0	2	6	0.25	0.125	0.625	0.16666666666666666
13	12	1/2	1/2	4/4	2	1	V65/V				A	V		V65/V	V		65		V				Mm7	0	0	10, 7, 4, 6		6.0	10.0	0	8	0.0	0.0	1.0625	0.0
13	12	3/4	3/4	4/4	2	1	V7/V				A	V		V7/V	V		7		V				Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	8	0.1111111111111111	0.0625	1.1875	0.05
14	13	0	0	4/4	2	1	V[V|HC}{				A	V	V	V	V						HC	}{	M	0	0	5, 9, 6		5.0	5.0	0	15	0.0	0.0	2.0625	0.0
