mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
3	2	11/16	11/16	4/4	2	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.125	0.0
3	2	3/4	3/4	4/4	2	1	#viio6					e	i		#viio6	#vii	o	6					o	1	1	6, 3, 9		9	6	2	4	0.3333333333333333	0.125	0.375	0.25
4	3	0	0	4/4	2	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.0625	0.25	0.2
4	3	1/8	1/8	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	1	0.0	0.0	0.125	0.0
4	3	3/16	3/16	4/4	2	1	VI6					e	i		VI6	VI		6					M	1	1	4, 1, 0		0	4	0	1	0.0	0.0	0.0625	0.0
4	3	1/4	1/4	4/4	2	1	IV65/iv					e	i		IV65/iv	IV		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	0	3	0.0	0.0	0.25	0.0
4	3	3/8	3/8	4/4	2	1	#viio/iv					e	i		#viio/iv	#vii	o			iv			o	1	1	8, 5, 2		8	8	0	3	0.0	0.0	0.25	0.0
4	3	1/2	1/2	4/4	2	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	2	2	0.5	0.125	0.125	0.5
4	3	5/8	5/8	4/4	2	1	ii%2					e	i		ii%2	ii	%	2					%7	1	1	4, 6, 3, 0		6	4	0	4	0.0	0.0	0.25	0.0
4	3	3/4	3/4	4/4	2	1	V65					e	i		V65	V		65					Mm7	1	1	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.25	0.0
4	3	7/8	7/8	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	1	5	0.16666666666666666	0.0625	0.4375	0.125
5	4	1/8	1/8	4/4	2	1	#viio					e	i		#viio	#vii	o						o	1	1	9, 6, 3		9	9	0	3	0.0	0.0	0.25	0.0
5	4	1/4	1/4	4/4	2	1	i(9)					e	i		i(9)	i			9				m	1	1	4, 1, 5	6	4	4	0	3	0.0	0.0	0.25	0.0
5	4	3/8	3/8	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.25	0.0
5	4	1/2	1/2	4/4	2	1	V(4)					e	i		V(4)	V			4				M	1	1	5, 4, 6		5	5	0	4	0.0	0.0	0.5625	0.0
5	4	5/8	5/8	4/4	2	1	V2					e	i		V2	V		2					Mm7	1	1	3, 5, 9, 6		5	3	0	2	0.0	0.0	0.1875	0.0
5	4	3/4	3/4	4/4	2	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	4	4	0.5	0.25	0.4375	0.36363636363636365
6	5	0	0	4/4	2	1	#viio65/v					e	i		#viio65/v	#vii	o	65		v			o7	1	1	7, 4, 1, 10		10	7	1	4	0.2	0.0625	0.375	0.14285714285714285
6	5	1/8	1/8	4/4	2	1	V65/v					e	i		V65/v	V		65		v			Mm7	1	1	10, 7, 4, 6		6	10	0	5	0.0	0.0	0.3125	0.0
6	5	1/4	1/4	4/4	2	1	v6					e	i		v6	v		6					m	1	1	2, 6, 5		5	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
6	5	3/8	3/8	4/4	2	1	#viio6/v					e	i		#viio6/v	#vii	o	6		v			o	1	1	7, 4, 10		10	7	1	4	0.2	0.0625	0.3125	0.16666666666666666
6	5	1/2	1/2	4/4	2	1	v					e	i		v	v							m	1	1	5, 2, 6		5	5	2	4	0.3333333333333333	0.125	0.375	0.25
6	5	3/4	3/4	4/4	2	1	i					e	i		i	i							m	1	1	4, 1, 5		4	4	2	3	0.4	0.125	0.375	0.25
7	6	0	0	4/4	2	1	ii%7/v					e	i		ii%7/v	ii	%	7		v			%7	1	1	7, 4, 1, 5		7	7	1	3	0.25	0.0625	0.1875	0.25
7	6	1/8	1/8	4/4	2	1	#viio6/v					e	i		#viio6/v	#vii	o	6		v			o	1	1	7, 4, 10		10	7	1	3	0.25	0.0625	0.1875	0.25
7	6	1/4	1/4	4/4	2	1	#viio/v					e	i		#viio/v	#vii	o			v			o	1	1	10, 7, 4		10	10	1	5	0.16666666666666666	0.0625	0.4375	0.125
7	6	1/2	1/2	4/4	2	1	v					e	i		v	v							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.0625	0.25	0.2
7	6	5/8	5/8	4/4	2	1	III6					e	i		III6	III		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.1875	0.0
7	6	3/4	3/4	4/4	2	1	IV7					e	i		IV7	IV		7					Mm7	1	1	3, 7, 4, 1		3	3	2	4	0.3333333333333333	0.0625	0.1875	0.25
7	6	7/8	7/8	4/4	2	1	#viio6					e	i		#viio6	#vii	o	6					o	1	1	6, 3, 9		9	6	1	4	0.2	0.03125	0.21875	0.125
8	7	0	0	4/4	2	1	i6					e	i		i6	i		6					m	1	1	1, 5, 4		4	1	3	5	0.375	0.1875	0.3125	0.375
8	7	1/4	1/4	4/4	2	1	V7/v					e	i		V7/v	V		7		v			Mm7	1	1	6, 10, 7, 4		6	6	0	3	0.0	0.0	0.25	0.0
8	7	3/8	3/8	4/4	2	1	v64					e	i		v64	v		64					m	1	1	6, 5, 2		5	6	0	3	0.0	0.0	0.25	0.0
8	7	1/2	1/2	4/4	2	1	V43/VII					e	i		V43/VII	V		43		VII			Mm7	1	1	4, 1, 3, 7		3	4	1	5	0.16666666666666666	0.0625	0.4375	0.125
8	7	3/4	3/4	4/4	2	1	VIIM7(#5)					e	i		VIIM7(#5)	VII	M	7	#5				MM7	1	1	2, 6, 10, 7		2	2	0	4	0.0	0.0	0.25	0.0
8	7	7/8	7/8	4/4	2	1	III64					e	i		III64	III		64					M	1	1	2, 1, 5		1	2	0	4	0.0	0.0	0.25	0.0
9	8	0	0	4/4	2	1	ii%7/v					e	i		ii%7/v	ii	%	7		v			%7	1	1	7, 4, 1, 5		7	7	0	6	0.0	0.0	0.5	0.0
9	8	1/4	1/4	4/4	2	1	V6/v					e	i		V6/v	V		6		v			M	1	1	10, 7, 6		6	10	3	5	0.375	0.1875	0.3125	0.375
9	8	1/2	1/2	4/4	2	1	ii%65/v					e	i		ii%65/v	ii	%	65		v			%7	1	1	4, 1, 5, 7		7	4	2	4	0.3333333333333333	0.125	0.375	0.25
9	8	3/4	3/4	4/4	2	1	#viio/v					e	i		#viio/v	#vii	o			v			o	1	1	10, 7, 4		10	10	2	6	0.25	0.125	0.375	0.25
10	9	0	0	4/4	2	1	#viio2/v					e	i		#viio2/v	#vii	o	2		v			o7	1	1	1, 10, 7, 4		10	1	3	3	0.5	0.1875	0.3125	0.375
10	9	1/4	1/4	4/4	2	1	#viio/v					e	i		#viio/v	#vii	o			v			o	1	1	10, 7, 4		10	10	3	5	0.375	0.1875	0.3125	0.375
10	9	1/2	1/2	4/4	2	1	ii[V7/v					e	i	ii	V7/v	V		7		v			Mm7	1	1	6, 10, 7, 4		6	6	1	5	0.16666666666666666	0.0625	0.8125	0.07142857142857142
10	9	3/4	3/4	4/4	2	1	v					e	i	ii	v	v							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
10	9	7/8	7/8	4/4	2	1	v6					e	i	ii	v6	v		6					m	1	1	2, 6, 5		5	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	0	0	4/4	2	1	ii%65/ii					e	i	ii	ii%65/ii	ii	%	65		ii			%7	1	1	5, 2, 6, 8		8	5	0	4	0.0	0.0	0.75	0.0
11	10	1/8	1/8	4/4	2	1	#viio6/ii					e	i	ii	#viio6/ii	#vii	o	6		ii			o	1	1	8, 5, 11		11	8	0	3	0.0	0.0	0.25	0.0
11	10	1/4	1/4	4/4	2	1	V/v					e	i	ii	V/v	V				v			M	1	1	6, 10, 7		6	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	10	3/8	3/8	4/4	2	1	#viio/ii					e	i	ii	#viio/ii	#vii	o			ii			o	1	1	11, 8, 5		11	11	0	3	0.0	0.0	0.25	0.0
11	10	1/2	1/2	4/4	2	1	V/v]					e	i	ii	V/v	V				v			M	1	1	6, 10, 7		6	6	1	3	0.25	0.0625	0.375	0.14285714285714285
11	10	5/8	5/8	4/4	2	1	V2/v					e	i		V2/v	V		2		v			Mm7	1	1	4, 6, 10, 7		6	4	1	2	0.3333333333333333	0.0625	0.125	0.3333333333333333
11	10	3/4	3/4	4/4	2	1	v6					e	i		v6	v		6					m	1	1	2, 6, 5		5	2	0	2	0.0	0.0	0.125	0.0
11	10	13/16	13/16	4/4	2	1	VII6/v					e	i		VII6/v	VII		6		v			M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.125	0.0
11	10	7/8	7/8	4/4	2	1	VI6/v					e	i		VI6/v	VI		6		v			M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.125	0.0
11	10	15/16	15/16	4/4	2	1	v6/v					e	i		v6/v	v		6		v			m	1	1	3, 7, 6		6	3	0	2	0.0	0.0	0.125	0.0
12	11	0	0	4/4	2	1	iv65/v					e	i		iv65/v	iv		65		v			mm7	1	1	1, 5, 2, 4		4	1	1	3	0.25	0.0625	0.1875	0.25
12	11	1/8	1/8	4/4	2	1	ii%65/v					e	i		ii%65/v	ii	%	65		v			%7	1	1	4, 1, 5, 7		7	4	1	4	0.2	0.0625	0.3125	0.16666666666666666
12	11	1/4	1/4	4/4	2	1	#viio(2)/v					e	i		#viio(2)/v	#vii	o		2	v			o	1	1	5, 7, 4		10	5	2	6	0.25	0.125	0.625	0.16666666666666666
12	11	1/2	1/2	4/4	2	1	V65/v					e	i		V65/v	V		65		v			Mm7	1	1	10, 7, 4, 6		6	10	0	5	0.0	0.0	0.375	0.0
12	11	5/8	5/8	4/4	2	1	v					e	i		v	v							m	1	1	5, 2, 6		5	5	1	3	0.25	0.03125	0.21875	0.125
12	11	11/16	11/16	4/4	2	1	iv(9)					e	i		iv(9)	iv			9				m	1	1	3, 0, 4	5	3	3	1	1	0.5	0.0625	0.0625	0.5
12	11	3/4	3/4	4/4	2	1	V/V					e	i		V/V	V				V			M	1	1	6, 10, 7		6	6	1	4	0.2	0.0625	0.6875	0.08333333333333333
13	12	0	0	4/4	2	1	V[V				1	e	i	V	V	V							M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	1.0	0.058823529411764705
13	12	1/8	1/8	4/4	2	1	V7				1	e	i	V	V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.1875	0.0
13	12	1/4	1/4	4/4	2	1	i				1	e	i	V	i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	12	3/8	3/8	4/4	2	1	v				1	e	i	V	v	v							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
